CMDLINE /home/stefano/anaconda3/envs/gt/bin/python3.10 memory_benchmark.py
MEM 1.500000 1696238932.0495
MEM 13.750000 1696238932.1501
MEM 21.109375 1696238932.2506
MEM 28.484375 1696238932.3514
MEM 34.273438 1696238932.4521
MEM 40.523438 1696238932.5528
MEM 44.773438 1696238932.6536
MEM 55.023438 1696238932.7541
MEM 77.023438 1696238932.8547
MEM 90.648438 1696238932.9554
MEM 97.148438 1696238933.0562
MEM 104.078125 1696238933.1569
MEM 108.203125 1696238933.2577
MEM 120.078125 1696238933.3584
MEM 129.328125 1696238933.4591
MEM 131.953125 1696238933.5597
MEM 134.828125 1696238933.6605
MEM 137.703125 1696238933.7612
MEM 145.953125 1696238933.8619
MEM 148.453125 1696238933.9626
MEM 148.578125 1696238934.0631
MEM 148.703125 1696238934.1639
MEM 153.828125 1696238934.2644
MEM 162.328125 1696238934.3651
MEM 170.578125 1696238934.4659
MEM 176.703125 1696238934.5666
MEM 181.328125 1696238934.6673
MEM 186.703125 1696238934.7680
MEM 191.828125 1696238934.8689
MEM 211.078125 1696238934.9695
MEM 229.953125 1696238935.0701
MEM 247.328125 1696238935.1707
MEM 257.953125 1696238935.2715
MEM 278.453125 1696238935.3721
MEM 290.703125 1696238935.4729
MEM 301.328125 1696238935.5737
MEM 307.953125 1696238935.6743
MEM 320.933594 1696238935.7750
MEM 340.058594 1696238935.8757
MEM 366.527344 1696238935.9763
MEM 367.652344 1696238936.0770
MEM 367.855469 1696238936.1778
MEM 367.980469 1696238936.2785
MEM 368.980469 1696238936.3792
MEM 369.605469 1696238936.4800
MEM 369.855469 1696238936.5808
MEM 370.105469 1696238936.6816
MEM 370.355469 1696238936.7824
MEM 370.730469 1696238936.8832
MEM 370.980469 1696238936.9839
MEM 372.605469 1696238937.0846
MEM 373.480469 1696238937.1857
MEM 374.105469 1696238937.2864
MEM 400.476562 1696238937.3872
MEM 406.601562 1696238937.4879
MEM 406.726562 1696238937.5886
MEM 407.351562 1696238937.6893
MEM 407.976562 1696238937.7902
MEM 408.351562 1696238937.8910
MEM 408.601562 1696238937.9917
MEM 408.851562 1696238938.0924
MEM 409.226562 1696238938.1931
MEM 409.476562 1696238938.2939
MEM 409.851562 1696238938.3946
MEM 410.476562 1696238938.4953
MEM 410.476562 1696238938.5960
MEM 410.476562 1696238938.6967
MEM 422.035156 1696238938.7974
MEM 394.097656 1696238938.8982
MEM 394.097656 1696238938.9989
MEM 394.222656 1696238939.0996
MEM 394.222656 1696238939.2003
MEM 394.222656 1696238939.3025
MEM 394.222656 1696238939.4030
MEM 394.222656 1696238939.5036
MEM 394.222656 1696238939.6040
MEM 394.222656 1696238939.7045
MEM 394.222656 1696238939.8050
MEM 394.222656 1696238939.9055
MEM 394.222656 1696238940.0060
MEM 394.222656 1696238940.1065
MEM 394.222656 1696238940.2069
MEM 394.222656 1696238940.3075
MEM 394.972656 1696238940.4080
MEM 424.992188 1696238940.5088
MEM 424.992188 1696238940.6094
MEM 424.992188 1696238940.7099
MEM 424.992188 1696238940.8104
MEM 424.992188 1696238940.9109
MEM 424.992188 1696238941.0114
MEM 424.992188 1696238941.1119
MEM 424.992188 1696238941.2123
MEM 424.992188 1696238941.3128
MEM 424.992188 1696238941.4133
MEM 424.992188 1696238941.5138
MEM 424.992188 1696238941.6143
MEM 424.992188 1696238941.7148
MEM 424.992188 1696238941.8156
MEM 435.867188 1696238941.9163
MEM 408.953125 1696238942.0171
MEM 408.953125 1696238942.1178
MEM 408.953125 1696238942.2185
MEM 408.953125 1696238942.3193
MEM 408.953125 1696238942.4198
MEM 408.953125 1696238942.5204
MEM 408.953125 1696238942.6211
MEM 408.953125 1696238942.7218
MEM 408.953125 1696238942.8226
MEM 408.953125 1696238942.9233
MEM 408.953125 1696238943.0240
MEM 408.953125 1696238943.1248
MEM 408.953125 1696238943.2254
MEM 408.953125 1696238943.3261
MEM 408.953125 1696238943.4269
MEM 408.953125 1696238943.5276
MEM 408.953125 1696238943.6284
MEM 415.945312 1696238943.7291
MEM 420.074219 1696238943.8301
MEM 431.328125 1696238943.9310
MEM 450.550781 1696238944.0318
MEM 466.785156 1696238944.1329
MEM 466.785156 1696238944.2337
MEM 466.785156 1696238944.3344
MEM 473.519531 1696238944.4349
MEM 480.675781 1696238944.5355
MEM 480.675781 1696238944.6360
MEM 480.675781 1696238944.7367
MEM 480.675781 1696238944.8374
MEM 441.343750 1696238944.9381
MEM 441.343750 1696238945.0389
MEM 449.597656 1696238945.1399
MEM 454.578125 1696238945.2407
MEM 393.636719 1696238945.3412
MEM 396.636719 1696238945.4421
MEM 397.261719 1696238945.5430
MEM 420.640625 1696238945.6435
MEM 453.656250 1696238945.7441
MEM 454.406250 1696238945.8446
MEM 466.222656 1696238945.9451
MEM 466.222656 1696238946.0456
MEM 481.472656 1696238946.1466
MEM 441.597656 1696238946.2472
MEM 470.542969 1696238946.3478
MEM 470.542969 1696238946.4488
MEM 470.542969 1696238946.5495
MEM 470.542969 1696238946.6502
MEM 470.542969 1696238946.7509
MEM 470.542969 1696238946.8516
MEM 470.542969 1696238946.9524
MEM 470.542969 1696238947.0530
MEM 470.542969 1696238947.1535
MEM 397.250000 1696238947.2541
MEM 397.250000 1696238947.3546
MEM 420.113281 1696238947.4554
MEM 434.488281 1696238947.5560
MEM 454.378906 1696238947.6566
MEM 454.378906 1696238947.7573
MEM 466.128906 1696238947.8578
MEM 466.128906 1696238947.9584
MEM 481.378906 1696238948.0593
MEM 443.296875 1696238948.1599
MEM 455.023438 1696238948.2605
MEM 475.273438 1696238948.3610
MEM 475.273438 1696238948.4618
MEM 475.273438 1696238948.5625
MEM 435.355469 1696238948.6634
MEM 461.195312 1696238948.7640
MEM 461.195312 1696238948.8648
MEM 470.195312 1696238948.9655
MEM 447.539062 1696238949.0661
MEM 475.054688 1696238949.1667
MEM 475.054688 1696238949.2675
MEM 430.691406 1696238949.3683
MEM 366.250000 1696238949.4688
MEM 393.585938 1696238949.5693
MEM 393.585938 1696238949.6702
MEM 415.320312 1696238949.7711
MEM 415.320312 1696238949.8719
MEM 415.320312 1696238949.9728
MEM 415.320312 1696238950.0734
MEM 415.320312 1696238950.1743
MEM 415.320312 1696238950.2748
MEM 415.320312 1696238950.3756
MEM 380.742188 1696238950.4764
MEM 408.324219 1696238950.5771
MEM 416.097656 1696238950.6778
MEM 446.527344 1696238950.7787
MEM 446.527344 1696238950.8795
MEM 423.789062 1696238950.9803
MEM 389.269531 1696238951.0813
MEM 431.316406 1696238951.1823
MEM 467.066406 1696238951.2830
MEM 470.066406 1696238951.3837
MEM 489.121094 1696238951.4844
MEM 493.601562 1696238951.5851
MEM 480.335938 1696238951.6857
MEM 480.460938 1696238951.7865
MEM 480.835938 1696238951.8872
MEM 480.960938 1696238951.9879
MEM 481.210938 1696238952.0886
MEM 481.335938 1696238952.1892
MEM 481.585938 1696238952.2900
MEM 481.710938 1696238952.3905
MEM 481.835938 1696238952.4911
MEM 482.085938 1696238952.5919
MEM 482.335938 1696238952.6924
MEM 482.460938 1696238952.7931
MEM 482.710938 1696238952.8939
MEM 482.960938 1696238952.9946
MEM 483.085938 1696238953.0954
MEM 483.335938 1696238953.1961
MEM 483.585938 1696238953.2969
MEM 483.710938 1696238953.3976
MEM 483.960938 1696238953.4984
MEM 484.210938 1696238953.5990
MEM 484.335938 1696238953.6998
MEM 484.585938 1696238953.8005
MEM 484.835938 1696238953.9012
MEM 484.960938 1696238954.0020
MEM 485.210938 1696238954.1028
MEM 485.460938 1696238954.2036
MEM 480.289062 1696238954.3043
MEM 480.289062 1696238954.4051
MEM 480.289062 1696238954.5059
MEM 496.164062 1696238954.6067
MEM 502.933594 1696238954.7075
MEM 548.808594 1696238954.8084
MEM 411.777344 1696238954.9091
MEM 434.277344 1696238955.0099
MEM 458.433594 1696238955.1109
MEM 487.566406 1696238955.2117
MEM 493.066406 1696238955.3124
MEM 493.191406 1696238955.4130
MEM 497.390625 1696238955.5137
MEM 499.515625 1696238955.6143
MEM 500.765625 1696238955.7151
MEM 503.765625 1696238955.8158
MEM 503.890625 1696238955.9165
MEM 504.140625 1696238956.0171
MEM 504.265625 1696238956.1178
MEM 504.515625 1696238956.2185
MEM 504.765625 1696238956.3192
MEM 504.890625 1696238956.4200
MEM 505.140625 1696238956.5207
MEM 505.390625 1696238956.6213
MEM 505.515625 1696238956.7221
MEM 505.765625 1696238956.8228
MEM 506.015625 1696238956.9234
MEM 506.140625 1696238957.0240
MEM 506.390625 1696238957.1247
MEM 506.640625 1696238957.2254
MEM 506.765625 1696238957.3261
MEM 507.015625 1696238957.4268
MEM 507.140625 1696238957.5275
MEM 507.390625 1696238957.6282
MEM 507.640625 1696238957.7292
MEM 507.765625 1696238957.8299
MEM 508.015625 1696238957.9305
MEM 508.265625 1696238958.0311
MEM 508.390625 1696238958.1318
MEM 508.640625 1696238958.2324
MEM 508.890625 1696238958.3331
MEM 509.015625 1696238958.4337
MEM 509.265625 1696238958.5344
MEM 509.390625 1696238958.6350
MEM 509.640625 1696238958.7356
MEM 509.765625 1696238958.8364
MEM 503.015625 1696238958.9371
MEM 503.015625 1696238959.0379
MEM 503.015625 1696238959.1385
MEM 503.015625 1696238959.2395
MEM 503.015625 1696238959.3403
MEM 510.644531 1696238959.4411
MEM 548.019531 1696238959.5419
MEM 571.644531 1696238959.6425
MEM 450.656250 1696238959.7431
MEM 458.281250 1696238959.8437
MEM 458.281250 1696238959.9442
MEM 465.906250 1696238960.0449
MEM 428.476562 1696238960.1456
MEM 449.738281 1696238960.2464
MEM 470.113281 1696238960.3472
MEM 475.347656 1696238960.4477
MEM 497.343750 1696238960.5485
MEM 501.445312 1696238960.6495
MEM 473.042969 1696238960.7504
MEM 473.292969 1696238960.8512
MEM 473.417969 1696238960.9520
MEM 473.667969 1696238961.0528
MEM 473.792969 1696238961.1535
MEM 474.042969 1696238961.2543
MEM 474.292969 1696238961.3551
MEM 474.417969 1696238961.4559
MEM 474.667969 1696238961.5567
MEM 474.917969 1696238961.6574
MEM 475.042969 1696238961.7581
MEM 475.292969 1696238961.8586
MEM 475.542969 1696238961.9591
MEM 475.667969 1696238962.0598
MEM 475.917969 1696238962.1604
MEM 476.167969 1696238962.2612
MEM 476.292969 1696238962.3619
MEM 476.542969 1696238962.4625
MEM 476.792969 1696238962.5632
MEM 476.917969 1696238962.6638
MEM 477.167969 1696238962.7644
MEM 477.417969 1696238962.8656
MEM 477.542969 1696238962.9663
MEM 477.792969 1696238963.0669
MEM 478.042969 1696238963.1676
MEM 478.167969 1696238963.2683
MEM 478.417969 1696238963.3687
MEM 478.542969 1696238963.4693
MEM 472.683594 1696238963.5701
MEM 478.308594 1696238963.6709
MEM 488.433594 1696238963.7717
MEM 504.433594 1696238963.8726
MEM 504.433594 1696238963.9734
MEM 548.808594 1696238964.0744
MEM 527.097656 1696238964.1751
MEM 527.097656 1696238964.2759
MEM 491.320312 1696238964.3767
MEM 500.820312 1696238964.4776
MEM 500.820312 1696238964.5784
MEM 500.820312 1696238964.6792
MEM 500.820312 1696238964.7802
MEM 503.695312 1696238964.8808
MEM 503.945312 1696238964.9813
MEM 504.070312 1696238965.0818
MEM 504.320312 1696238965.1824
MEM 504.445312 1696238965.2831
MEM 504.695312 1696238965.3839
MEM 504.945312 1696238965.4846
MEM 505.070312 1696238965.5853
MEM 505.320312 1696238965.6860
MEM 505.570312 1696238965.7865
MEM 505.695312 1696238965.8873
MEM 505.945312 1696238965.9880
MEM 506.195312 1696238966.0886
MEM 506.320312 1696238966.1893
MEM 506.570312 1696238966.2899
MEM 506.820312 1696238966.3906
MEM 506.945312 1696238966.4912
MEM 507.195312 1696238966.5919
MEM 507.445312 1696238966.6925
MEM 507.570312 1696238966.7932
MEM 507.820312 1696238966.8938
MEM 508.070312 1696238966.9945
MEM 508.195312 1696238967.0952
MEM 508.445312 1696238967.1958
MEM 508.695312 1696238967.2964
MEM 508.820312 1696238967.3971
MEM 509.070312 1696238967.4977
MEM 509.320312 1696238967.5983
MEM 509.445312 1696238967.6989
MEM 509.695312 1696238967.7996
MEM 509.945312 1696238967.9002
MEM 510.070312 1696238968.0017
MEM 503.171875 1696238968.1025
MEM 503.171875 1696238968.2031
MEM 503.171875 1696238968.3038
MEM 503.171875 1696238968.4047
MEM 503.171875 1696238968.5055
MEM 512.046875 1696238968.6066
MEM 557.921875 1696238968.7076
MEM 468.656250 1696238968.8085
MEM 468.656250 1696238968.9094
MEM 468.656250 1696238969.0102
MEM 474.656250 1696238969.1111
MEM 474.656250 1696238969.2120
MEM 474.656250 1696238969.3128
MEM 493.031250 1696238969.4137
MEM 493.031250 1696238969.5143
MEM 497.363281 1696238969.6151
MEM 501.378906 1696238969.7159
MEM 504.253906 1696238969.8167
MEM 504.378906 1696238969.9175
MEM 504.628906 1696238970.0181
MEM 504.753906 1696238970.1187
MEM 505.003906 1696238970.2193
MEM 505.253906 1696238970.3201
MEM 505.378906 1696238970.4207
MEM 505.628906 1696238970.5215
MEM 505.878906 1696238970.6222
MEM 506.003906 1696238970.7230
MEM 506.253906 1696238970.8237
MEM 506.503906 1696238970.9245
MEM 506.628906 1696238971.0252
MEM 506.878906 1696238971.1258
MEM 507.003906 1696238971.2265
MEM 507.253906 1696238971.3272
MEM 507.503906 1696238971.4280
MEM 507.628906 1696238971.5286
MEM 507.878906 1696238971.6292
MEM 508.128906 1696238971.7300
MEM 508.253906 1696238971.8307
MEM 508.503906 1696238971.9315
MEM 508.753906 1696238972.0322
MEM 508.878906 1696238972.1329
MEM 509.128906 1696238972.2335
MEM 509.378906 1696238972.3342
MEM 509.503906 1696238972.4349
MEM 509.753906 1696238972.5355
MEM 509.878906 1696238972.6362
MEM 510.128906 1696238972.7369
MEM 503.789062 1696238972.8376
MEM 503.789062 1696238972.9384
MEM 503.789062 1696238973.0391
MEM 505.039062 1696238973.1402
MEM 540.800781 1696238973.2410
MEM 556.425781 1696238973.3417
MEM 536.714844 1696238973.4424
MEM 444.285156 1696238973.5431
MEM 462.660156 1696238973.6439
MEM 462.660156 1696238973.7446
MEM 497.269531 1696238973.8452
MEM 501.378906 1696238973.9459
MEM 470.359375 1696238974.0465
MEM 473.234375 1696238974.1471
MEM 473.484375 1696238974.2479
MEM 473.609375 1696238974.3486
MEM 473.859375 1696238974.4493
