CMDLINE /home/stefano/anaconda3/envs/gt/bin/python3.10 memory_benchmark.py
MEM 0.500000 1696868181.6543
MEM 15.375000 1696868181.7548
MEM 21.351562 1696868181.8553
MEM 28.351562 1696868181.9558
MEM 33.152344 1696868182.0563
MEM 38.152344 1696868182.1567
MEM 42.027344 1696868182.2571
MEM 49.652344 1696868182.3575
MEM 56.027344 1696868182.4580
MEM 77.152344 1696868182.5585
MEM 90.402344 1696868182.6589
MEM 95.402344 1696868182.7594
MEM 102.156250 1696868182.8599
MEM 105.906250 1696868182.9605
MEM 117.281250 1696868183.0609
MEM 125.656250 1696868183.1614
MEM 129.656250 1696868183.2619
MEM 132.406250 1696868183.3624
MEM 134.781250 1696868183.4628
MEM 137.531250 1696868183.5632
MEM 139.406250 1696868183.6639
MEM 146.906250 1696868183.7648
MEM 148.281250 1696868183.8654
MEM 148.406250 1696868183.9658
MEM 148.531250 1696868184.0668
MEM 156.031250 1696868184.1673
MEM 162.031250 1696868184.2679
MEM 170.406250 1696868184.3687
MEM 176.906250 1696868184.4693
MEM 182.031250 1696868184.5700
MEM 187.406250 1696868184.6706
MEM 189.406250 1696868184.7712
MEM 202.906250 1696868184.8720
MEM 215.281250 1696868184.9727
MEM 233.656250 1696868185.0733
MEM 250.906250 1696868185.1739
MEM 258.531250 1696868185.2749
MEM 275.906250 1696868185.3758
MEM 285.531250 1696868185.4767
MEM 298.656250 1696868185.5773
MEM 308.015625 1696868185.6780
MEM 309.390625 1696868185.7787
MEM 315.890625 1696868185.8793
MEM 332.640625 1696868185.9799
MEM 349.851562 1696868186.0811
MEM 352.859375 1696868186.1816
MEM 353.234375 1696868186.2821
MEM 353.734375 1696868186.3826
MEM 354.234375 1696868186.4831
MEM 354.484375 1696868186.5835
MEM 354.734375 1696868186.6841
MEM 356.234375 1696868186.7846
MEM 356.609375 1696868186.8852
MEM 373.074219 1696868186.9857
MEM 390.734375 1696868187.0862
MEM 356.816406 1696868187.1869
MEM 357.441406 1696868187.2876
MEM 357.941406 1696868187.3883
MEM 358.316406 1696868187.4891
MEM 358.691406 1696868187.5898
MEM 359.316406 1696868187.6905
MEM 366.191406 1696868187.7913
MEM 367.921875 1696868187.8921
MEM 368.046875 1696868187.9928
MEM 368.046875 1696868188.0936
MEM 368.046875 1696868188.1940
MEM 368.046875 1696868188.2944
MEM 368.046875 1696868188.3948
MEM 368.046875 1696868188.4955
MEM 369.421875 1696868188.5960
MEM 364.351562 1696868188.6968
MEM 368.101562 1696868188.7976
MEM 368.101562 1696868188.8982
MEM 368.101562 1696868188.9989
MEM 368.101562 1696868189.0995
MEM 368.101562 1696868189.2003
MEM 368.101562 1696868189.3009
MEM 368.101562 1696868189.4015
MEM 392.902344 1696868189.5023
MEM 367.484375 1696868189.6030
MEM 367.484375 1696868189.7038
MEM 367.484375 1696868189.8045
MEM 367.484375 1696868189.9051
MEM 367.484375 1696868190.0058
MEM 367.484375 1696868190.1064
MEM 367.484375 1696868190.2069
MEM 367.484375 1696868190.3074
MEM 368.234375 1696868190.4080
MEM 378.734375 1696868190.5086
MEM 372.679688 1696868190.6091
MEM 372.679688 1696868190.7096
MEM 372.679688 1696868190.8101
MEM 372.679688 1696868190.9106
MEM 372.679688 1696868191.0111
MEM 372.679688 1696868191.1116
MEM 372.679688 1696868191.2122
MEM 372.679688 1696868191.3127
MEM 372.679688 1696868191.4132
MEM 372.804688 1696868191.5138
MEM 405.183594 1696868191.6148
MEM 375.832031 1696868191.7154
MEM 375.832031 1696868191.8160
MEM 375.832031 1696868191.9169
MEM 375.832031 1696868192.0175
MEM 375.832031 1696868192.1182
MEM 375.832031 1696868192.2189
MEM 375.832031 1696868192.3195
MEM 375.832031 1696868192.4202
MEM 375.957031 1696868192.5210
MEM 386.832031 1696868192.6217
MEM 413.730469 1696868192.7225
MEM 413.730469 1696868192.8232
MEM 413.730469 1696868192.9237
MEM 413.730469 1696868193.0241
MEM 413.730469 1696868193.1246
MEM 413.730469 1696868193.2251
MEM 413.730469 1696868193.3256
MEM 413.730469 1696868193.4262
MEM 413.730469 1696868193.5270
MEM 420.800781 1696868193.6279
MEM 420.800781 1696868193.7285
MEM 420.800781 1696868193.8289
MEM 420.800781 1696868193.9294
MEM 420.800781 1696868194.0299
MEM 420.800781 1696868194.1305
MEM 420.800781 1696868194.2310
MEM 420.800781 1696868194.3317
MEM 426.445312 1696868194.4323
MEM 400.472656 1696868194.5329
MEM 410.097656 1696868194.6334
MEM 410.097656 1696868194.7338
MEM 410.097656 1696868194.8346
MEM 410.097656 1696868194.9352
MEM 410.097656 1696868195.0360
MEM 410.097656 1696868195.1367
MEM 410.097656 1696868195.2375
MEM 410.097656 1696868195.3382
MEM 423.457031 1696868195.4390
MEM 401.570312 1696868195.5398
MEM 401.570312 1696868195.6405
MEM 401.570312 1696868195.7411
MEM 401.570312 1696868195.8418
MEM 401.570312 1696868195.9426
MEM 401.570312 1696868196.0433
MEM 402.070312 1696868196.1441
MEM 435.933594 1696868196.2449
MEM 401.812500 1696868196.3456
MEM 401.812500 1696868196.4462
MEM 401.812500 1696868196.5469
MEM 401.812500 1696868196.6476
MEM 401.812500 1696868196.7483
MEM 401.812500 1696868196.8489
MEM 401.812500 1696868196.9496
MEM 401.812500 1696868197.0504
MEM 401.812500 1696868197.1508
MEM 408.562500 1696868197.2515
MEM 438.050781 1696868197.3521
MEM 403.933594 1696868197.4525
MEM 403.933594 1696868197.5530
MEM 403.933594 1696868197.6537
MEM 403.933594 1696868197.7544
MEM 403.933594 1696868197.8550
MEM 403.933594 1696868197.9558
MEM 403.933594 1696868198.0565
MEM 427.855469 1696868198.1573
MEM 397.437500 1696868198.2579
MEM 397.437500 1696868198.3585
MEM 397.437500 1696868198.4592
MEM 397.437500 1696868198.5598
MEM 397.437500 1696868198.6604
MEM 397.437500 1696868198.7608
MEM 397.437500 1696868198.8614
MEM 397.437500 1696868198.9621
MEM 397.687500 1696868199.0628
MEM 399.312500 1696868199.1633
MEM 411.562500 1696868199.2645
MEM 441.261719 1696868199.3654
MEM 407.109375 1696868199.4660
MEM 407.109375 1696868199.5664
MEM 407.109375 1696868199.6669
MEM 407.109375 1696868199.7674
MEM 407.109375 1696868199.8680
MEM 407.109375 1696868199.9684
MEM 407.109375 1696868200.0689
MEM 407.109375 1696868200.1694
MEM 419.359375 1696868200.2699
MEM 414.558594 1696868200.3707
MEM 417.531250 1696868200.4711
MEM 417.531250 1696868200.5715
MEM 417.531250 1696868200.6720
MEM 417.531250 1696868200.7725
MEM 417.531250 1696868200.8729
MEM 417.531250 1696868200.9737
MEM 431.031250 1696868201.0745
MEM 459.753906 1696868201.1752
MEM 459.753906 1696868201.2760
MEM 459.753906 1696868201.3767
MEM 459.753906 1696868201.4775
MEM 459.753906 1696868201.5783
MEM 459.753906 1696868201.6791
MEM 459.753906 1696868201.7798
MEM 459.753906 1696868201.8806
MEM 439.308594 1696868201.9813
MEM 439.308594 1696868202.0820
MEM 439.308594 1696868202.1826
MEM 439.308594 1696868202.2830
MEM 439.308594 1696868202.3835
MEM 439.308594 1696868202.4840
MEM 439.308594 1696868202.5847
MEM 454.828125 1696868202.6855
MEM 468.273438 1696868202.7866
MEM 468.273438 1696868202.8873
MEM 468.273438 1696868202.9881
MEM 468.273438 1696868203.0887
MEM 468.273438 1696868203.1893
MEM 468.273438 1696868203.2900
MEM 468.273438 1696868203.3908
MEM 470.773438 1696868203.4915
MEM 432.039062 1696868203.5924
MEM 432.039062 1696868203.6931
MEM 432.039062 1696868203.7939
MEM 432.039062 1696868203.8944
MEM 432.289062 1696868203.9949
MEM 447.039062 1696868204.0955
MEM 445.515625 1696868204.1960
MEM 445.515625 1696868204.2965
MEM 445.515625 1696868204.3970
MEM 445.515625 1696868204.4977
MEM 445.515625 1696868204.5982
MEM 445.515625 1696868204.6986
MEM 445.515625 1696868204.7993
MEM 445.515625 1696868204.8998
MEM 457.640625 1696868205.0004
MEM 450.851562 1696868205.1010
MEM 450.851562 1696868205.2016
MEM 450.851562 1696868205.3021
MEM 450.851562 1696868205.4026
MEM 450.851562 1696868205.5031
MEM 455.851562 1696868205.6038
MEM 448.464844 1696868205.7046
MEM 448.589844 1696868205.8051
MEM 448.589844 1696868205.9056
MEM 448.589844 1696868206.0060
MEM 448.589844 1696868206.1066
MEM 448.589844 1696868206.2072
MEM 448.589844 1696868206.3079
MEM 448.589844 1696868206.4084
MEM 448.589844 1696868206.5089
MEM 448.589844 1696868206.6094
MEM 448.589844 1696868206.7099
MEM 448.589844 1696868206.8104
MEM 448.589844 1696868206.9114
MEM 448.964844 1696868207.0124
MEM 449.214844 1696868207.1129
MEM 449.214844 1696868207.2134
MEM 449.214844 1696868207.3142
MEM 449.214844 1696868207.4149
MEM 449.214844 1696868207.5156
MEM 449.214844 1696868207.6165
MEM 449.339844 1696868207.7170
MEM 449.339844 1696868207.8176
MEM 449.339844 1696868207.9181
MEM 449.339844 1696868208.0186
MEM 449.339844 1696868208.1194
MEM 449.339844 1696868208.2199
MEM 449.339844 1696868208.3206
MEM 449.339844 1696868208.4211
MEM 449.339844 1696868208.5218
MEM 449.339844 1696868208.6223
MEM 449.339844 1696868208.7228
MEM 450.214844 1696868208.8235
MEM 450.214844 1696868208.9242
MEM 450.214844 1696868209.0251
MEM 450.214844 1696868209.1259
MEM 451.964844 1696868209.2265
MEM 451.964844 1696868209.3276
MEM 451.964844 1696868209.4286
MEM 451.964844 1696868209.5292
MEM 451.964844 1696868209.6300
MEM 451.964844 1696868209.7304
MEM 451.964844 1696868209.8310
MEM 451.964844 1696868209.9315
MEM 451.964844 1696868210.0321
MEM 451.964844 1696868210.1325
MEM 451.964844 1696868210.2335
MEM 451.964844 1696868210.3341
MEM 451.964844 1696868210.4346
MEM 451.964844 1696868210.5356
MEM 451.964844 1696868210.6362
MEM 451.964844 1696868210.7369
MEM 457.906250 1696868210.8376
MEM 457.906250 1696868210.9381
MEM 457.906250 1696868211.0386
MEM 457.906250 1696868211.1395
MEM 457.906250 1696868211.2402
MEM 457.906250 1696868211.3408
MEM 457.906250 1696868211.4415
MEM 457.906250 1696868211.5420
MEM 457.906250 1696868211.6426
MEM 457.906250 1696868211.7431
MEM 457.906250 1696868211.8436
MEM 457.906250 1696868211.9443
MEM 457.906250 1696868212.0448
MEM 457.906250 1696868212.1457
MEM 457.906250 1696868212.2463
MEM 457.906250 1696868212.3468
MEM 457.906250 1696868212.4476
MEM 457.906250 1696868212.5482
MEM 457.906250 1696868212.6487
MEM 457.906250 1696868212.7492
MEM 457.906250 1696868212.8497
MEM 457.906250 1696868212.9504
MEM 457.906250 1696868213.0509
MEM 457.906250 1696868213.1515
MEM 457.906250 1696868213.2526
MEM 457.906250 1696868213.3532
MEM 457.906250 1696868213.4538
MEM 457.906250 1696868213.5544
MEM 457.906250 1696868213.6552
MEM 457.906250 1696868213.7557
MEM 457.906250 1696868213.8566
MEM 457.906250 1696868213.9571
MEM 457.906250 1696868214.0577
MEM 457.906250 1696868214.1587
MEM 457.906250 1696868214.2593
MEM 457.906250 1696868214.3603
MEM 457.906250 1696868214.4611
MEM 457.906250 1696868214.5617
MEM 466.312500 1696868214.6623
MEM 466.312500 1696868214.7632
MEM 466.312500 1696868214.8638
MEM 466.312500 1696868214.9647
MEM 466.312500 1696868215.0658
MEM 466.312500 1696868215.1664
MEM 466.312500 1696868215.2669
MEM 466.312500 1696868215.3675
MEM 466.312500 1696868215.4680
MEM 466.312500 1696868215.5686
MEM 466.312500 1696868215.6691
MEM 466.312500 1696868215.7700
MEM 466.312500 1696868215.8706
MEM 466.312500 1696868215.9715
MEM 466.312500 1696868216.0722
MEM 466.312500 1696868216.1730
MEM 466.312500 1696868216.2736
MEM 466.312500 1696868216.3741
MEM 466.312500 1696868216.4750
MEM 466.312500 1696868216.5755
MEM 466.312500 1696868216.6765
MEM 466.312500 1696868216.7770
MEM 466.312500 1696868216.8778
MEM 466.562500 1696868216.9788
MEM 466.562500 1696868217.0797
MEM 466.562500 1696868217.1805
MEM 466.562500 1696868217.2813
MEM 466.562500 1696868217.3819
MEM 466.562500 1696868217.4827
MEM 466.562500 1696868217.5838
MEM 466.562500 1696868217.6846
MEM 466.562500 1696868217.7854
MEM 466.562500 1696868217.8864
MEM 466.562500 1696868217.9872
MEM 466.562500 1696868218.0879
MEM 466.562500 1696868218.1885
MEM 466.562500 1696868218.2897
MEM 466.562500 1696868218.3903
MEM 466.562500 1696868218.4913
MEM 466.562500 1696868218.5919
MEM 466.562500 1696868218.6925
MEM 466.562500 1696868218.7936
MEM 466.562500 1696868218.8941
MEM 466.562500 1696868218.9951
MEM 466.562500 1696868219.0958
MEM 466.562500 1696868219.1966
MEM 466.562500 1696868219.2973
MEM 466.562500 1696868219.3980
MEM 466.562500 1696868219.4986
MEM 466.562500 1696868219.5994
MEM 466.562500 1696868219.7002
MEM 466.562500 1696868219.8009
MEM 466.562500 1696868219.9017
MEM 466.562500 1696868220.0027
MEM 466.562500 1696868220.1033
MEM 466.562500 1696868220.2041
MEM 466.562500 1696868220.3048
MEM 466.562500 1696868220.4056
MEM 466.562500 1696868220.5064
MEM 466.562500 1696868220.6072
MEM 466.562500 1696868220.7078
MEM 466.562500 1696868220.8098
MEM 466.562500 1696868220.9105
MEM 466.562500 1696868221.0112
MEM 466.562500 1696868221.1118
MEM 466.562500 1696868221.2129
MEM 466.562500 1696868221.3136
MEM 466.562500 1696868221.4141
MEM 466.562500 1696868221.5156
MEM 466.562500 1696868221.6165
MEM 466.562500 1696868221.7172
MEM 466.562500 1696868221.8178
MEM 466.562500 1696868221.9185
MEM 466.562500 1696868222.0190
MEM 466.562500 1696868222.1197
MEM 466.562500 1696868222.2205
MEM 466.562500 1696868222.3213
MEM 466.562500 1696868222.4220
MEM 466.562500 1696868222.5226
MEM 466.562500 1696868222.6233
MEM 466.562500 1696868222.7243
MEM 466.562500 1696868222.8249
MEM 466.562500 1696868222.9255
MEM 466.562500 1696868223.0262
MEM 466.562500 1696868223.1268
MEM 466.562500 1696868223.2276
MEM 466.562500 1696868223.3282
MEM 466.562500 1696868223.4287
MEM 466.562500 1696868223.5293
