CMDLINE /home/stefano/anaconda3/envs/gt/bin/python3.10 memory_benchmark.py
MEM 0.375000 1697285562.3257
MEM 13.625000 1697285562.4262
MEM 19.601562 1697285562.5266
MEM 23.976562 1697285562.6271
MEM 29.351562 1697285562.7276
MEM 33.652344 1697285562.8282
MEM 37.652344 1697285562.9286
MEM 41.152344 1697285563.0294
MEM 43.402344 1697285563.1300
MEM 55.027344 1697285563.2305
MEM 76.902344 1697285563.3322
MEM 85.527344 1697285563.4328
MEM 92.652344 1697285563.5333
MEM 101.277344 1697285563.6337
MEM 106.152344 1697285563.7343
MEM 110.152344 1697285563.8348
MEM 120.402344 1697285563.9354
MEM 127.652344 1697285564.0359
MEM 129.902344 1697285564.1364
MEM 132.527344 1697285564.2370
MEM 134.902344 1697285564.3374
MEM 137.277344 1697285564.4379
MEM 138.152344 1697285564.5384
MEM 142.652344 1697285564.6401
MEM 148.527344 1697285564.7406
MEM 148.527344 1697285564.8412
MEM 148.652344 1697285564.9420
MEM 152.527344 1697285565.0426
MEM 161.152344 1697285565.1434
MEM 168.277344 1697285565.2441
MEM 175.777344 1697285565.3450
MEM 177.152344 1697285565.4457
MEM 182.152344 1697285565.5464
MEM 187.527344 1697285565.6470
MEM 189.527344 1697285565.7478
MEM 223.902344 1697285565.8485
MEM 260.777344 1697285565.9493
MEM 286.777344 1697285566.0501
MEM 296.777344 1697285566.1509
MEM 307.289062 1697285566.2517
MEM 308.414062 1697285566.3525
MEM 309.914062 1697285566.4531
MEM 322.664062 1697285566.5538
MEM 336.414062 1697285566.6545
MEM 357.707031 1697285566.7554
MEM 352.660156 1697285566.8562
MEM 353.035156 1697285566.9566
MEM 353.660156 1697285567.0571
MEM 354.035156 1697285567.1576
MEM 354.285156 1697285567.2581
MEM 354.910156 1697285567.3586
MEM 356.410156 1697285567.4593
MEM 363.035156 1697285567.5599
MEM 355.886719 1697285567.6606
MEM 356.261719 1697285567.7613
MEM 356.886719 1697285567.8621
MEM 357.261719 1697285567.9627
MEM 357.511719 1697285568.0634
MEM 358.386719 1697285568.1642
MEM 362.261719 1697285568.2650
MEM 365.863281 1697285568.3658
MEM 365.863281 1697285568.4666
MEM 365.863281 1697285568.5673
MEM 365.863281 1697285568.6681
MEM 365.863281 1697285568.7688
MEM 365.863281 1697285568.8695
MEM 365.988281 1697285568.9703
MEM 395.199219 1697285569.0712
MEM 362.335938 1697285569.1719
MEM 362.335938 1697285569.2726
MEM 362.335938 1697285569.3733
MEM 362.335938 1697285569.4739
MEM 362.335938 1697285569.5745
MEM 362.335938 1697285569.6750
MEM 369.710938 1697285569.7756
MEM 371.113281 1697285569.8761
MEM 371.113281 1697285569.9768
MEM 371.113281 1697285570.0776
MEM 371.113281 1697285570.1783
MEM 371.113281 1697285570.2791
MEM 371.113281 1697285570.3797
MEM 371.113281 1697285570.4804
MEM 373.613281 1697285570.5812
MEM 368.804688 1697285570.6819
MEM 368.804688 1697285570.7827
MEM 368.804688 1697285570.8834
MEM 368.804688 1697285570.9842
MEM 368.804688 1697285571.0849
MEM 368.804688 1697285571.1857
MEM 393.703125 1697285571.2865
MEM 378.660156 1697285571.3871
MEM 378.660156 1697285571.4876
MEM 378.660156 1697285571.5881
MEM 378.660156 1697285571.6888
MEM 378.660156 1697285571.7893
MEM 378.660156 1697285571.8901
MEM 378.785156 1697285571.9909
MEM 410.191406 1697285572.0919
MEM 410.191406 1697285572.1928
MEM 410.191406 1697285572.2935
MEM 410.191406 1697285572.3943
MEM 410.191406 1697285572.4950
MEM 410.191406 1697285572.5965
MEM 410.191406 1697285572.6972
MEM 412.941406 1697285572.7980
MEM 390.226562 1697285572.8988
MEM 390.226562 1697285572.9996
MEM 390.226562 1697285573.1003
MEM 390.226562 1697285573.2011
MEM 390.226562 1697285573.3018
MEM 390.226562 1697285573.4026
MEM 400.101562 1697285573.5033
MEM 426.789062 1697285573.6041
MEM 426.789062 1697285573.7049
MEM 426.789062 1697285573.8055
MEM 426.789062 1697285573.9062
MEM 426.789062 1697285574.0070
MEM 426.789062 1697285574.1077
MEM 426.789062 1697285574.2085
MEM 426.789062 1697285574.3093
MEM 431.921875 1697285574.4102
MEM 399.746094 1697285574.5109
MEM 399.746094 1697285574.6115
MEM 399.746094 1697285574.7123
MEM 399.746094 1697285574.8128
MEM 399.746094 1697285574.9133
MEM 399.746094 1697285575.0139
MEM 399.746094 1697285575.1144
MEM 399.746094 1697285575.2149
MEM 403.746094 1697285575.3155
MEM 430.132812 1697285575.4165
MEM 405.027344 1697285575.5172
MEM 405.027344 1697285575.6177
MEM 405.027344 1697285575.7182
MEM 405.027344 1697285575.8187
MEM 405.027344 1697285575.9192
MEM 405.027344 1697285576.0198
MEM 405.027344 1697285576.1203
MEM 405.027344 1697285576.2208
MEM 411.652344 1697285576.3214
MEM 404.582031 1697285576.4219
MEM 404.582031 1697285576.5224
MEM 404.582031 1697285576.6228
MEM 404.582031 1697285576.7232
MEM 404.582031 1697285576.8237
MEM 404.582031 1697285576.9242
MEM 406.582031 1697285577.0248
MEM 434.917969 1697285577.1253
MEM 404.609375 1697285577.2258
MEM 404.609375 1697285577.3263
MEM 404.609375 1697285577.4268
MEM 404.609375 1697285577.5273
