,dist,perc,time
0,5000000,0.0,398.2924585342407
1,5000000,0.01,384.7843883037567
2,5000000,0.05,368.3644104003906
3,5000000,0.1,345.78876972198486
4,5000000,0.25,250.63858246803284
5,10000000,0.0,450.17558193206787
6,10000000,0.01,395.06690096855164
7,10000000,0.05,361.33081340789795
8,10000000,0.1,328.153489112854
9,10000000,0.25,271.3992075920105
10,25000000,0.0,460.1683614253998
11,25000000,0.01,425.2900855541229
12,25000000,0.05,417.93881273269653
13,25000000,0.1,280.9432952404022
14,25000000,0.25,278.0968635082245
15,50000000,0.0,512.9928135871887
16,50000000,0.01,474.3164131641388
17,50000000,0.05,435.38266372680664
18,50000000,0.1,298.94367146492004
19,50000000,0.25,311.33674693107605
20,100000000,0.0,525.5568027496338
21,100000000,0.01,521.8584377765656
22,100000000,0.05,501.44564509391785
23,100000000,0.1,314.94982743263245
24,100000000,0.25,342.6838994026184
