chromhmm_state1	chromhmm_state2	count
		21342
	Enh	16882
	Het	126046
	Polyc	31729
	Prom	13498
	Tx	20739
	ZNF	6903
Enh		16155
Enh	Enh	1162114
Enh	Het	3694427
Enh	Polyc	1484688
Enh	Prom	898993
Enh	Tx	1269671
Enh	ZNF	384323
Het		132349
Het	Enh	3709198
Het	Het	32431315
Het	Polyc	6929896
Het	Prom	2641138
Het	Tx	3942248
Het	ZNF	1295646
Polyc		31559
Polyc	Enh	1458079
Polyc	Het	6812543
Polyc	Polyc	3161667
Polyc	Prom	992689
Polyc	Tx	1544815
Polyc	ZNF	417579
Prom		11934
Prom	Enh	893652
Prom	Het	2595143
Prom	Polyc	1014512
Prom	Prom	788814
Prom	Tx	1042339
Prom	ZNF	318771
Tx		20810
Tx	Enh	1289442
Tx	Het	3927195
Tx	Polyc	1608452
Tx	Prom	1053149
Tx	Tx	1676547
Tx	ZNF	449720
ZNF		6800
ZNF	Enh	387932
ZNF	Het	1272305
ZNF	Polyc	434174
ZNF	Prom	322524
ZNF	Tx	452113
ZNF	ZNF	189826
