chromhmm_state1	chromhmm_state2	count
		53862
	Enh	46850
	Het	315671
	Polyc	79156
	Prom	36916
	Tx	53577
	ZNF	23171
Enh		47984
Enh	Enh	2677089
Enh	Het	7449024
Enh	Polyc	3025912
Enh	Prom	2141326
Enh	Tx	2911771
Enh	ZNF	886924
Het		362639
Het	Enh	7816231
Het	Het	54073762
Het	Polyc	13371398
Het	Prom	5713355
Het	Tx	8435037
Het	ZNF	2693973
Polyc		83859
Polyc	Enh	3088617
Polyc	Het	13018924
Polyc	Polyc	5852967
Polyc	Prom	2203302
Polyc	Tx	3354861
Polyc	ZNF	924568
Prom		35969
Prom	Enh	2122327
Prom	Het	5328834
Prom	Polyc	2131686
Prom	Prom	1919656
Prom	Tx	2426242
Prom	ZNF	740756
Tx		56220
Tx	Enh	2949458
Tx	Het	8022447
Tx	Polyc	3322321
Tx	Prom	2473788
Tx	Tx	3751877
Tx	ZNF	1020110
ZNF		24969
ZNF	Enh	904306
ZNF	Het	2564998
ZNF	Polyc	918623
ZNF	Prom	763798
ZNF	Tx	1030819
ZNF	ZNF	391289
