chromhmm_state1	chromhmm_state2	count
		62772
	Enh	21470
	Het	187852
	Polyc	40389
	Prom	14414
	Tx	31578
	ZNF	7596
Enh		19680
Enh	Enh	1432248
Enh	Het	4970368
Enh	Polyc	1703457
Enh	Prom	974775
Enh	Tx	1834416
Enh	ZNF	367379
Het		189070
Het	Enh	4981887
Het	Het	52192960
Het	Polyc	9272308
Het	Prom	3155364
Het	Tx	6327825
Het	ZNF	1417735
Polyc		39458
Polyc	Enh	1685849
Polyc	Het	9127673
Polyc	Polyc	4164313
Polyc	Prom	1005114
Polyc	Tx	2082844
Polyc	ZNF	367426
Prom		12542
Prom	Enh	975596
Prom	Het	3115237
Prom	Polyc	1021586
Prom	Prom	762437
Prom	Tx	1340672
Prom	ZNF	275265
Tx		32079
Tx	Enh	1856992
Tx	Het	6319082
Tx	Polyc	2142104
Tx	Prom	1347844
Tx	Tx	3024906
Tx	ZNF	521155
ZNF		7599
ZNF	Enh	368121
ZNF	Het	1401146
ZNF	Polyc	376768
ZNF	Prom	274230
ZNF	Tx	521391
ZNF	ZNF	172546
