chromhmm_state1	chromhmm_state2	count
		62863
	Enh	24472
	Het	208704
	Polyc	47459
	Prom	16235
	Tx	35117
	ZNF	8275
Enh		22300
Enh	Enh	1530311
Enh	Het	5355058
Enh	Polyc	1822487
Enh	Prom	1045146
Enh	Tx	1959488
Enh	ZNF	396274
Het		207971
Het	Enh	5369588
Het	Het	55603557
Het	Polyc	10040983
Het	Prom	3403163
Het	Tx	6820740
Het	ZNF	1524418
Polyc		43935
Polyc	Enh	1788737
Polyc	Het	9777826
Polyc	Polyc	4382678
Polyc	Prom	1069468
Polyc	Tx	2216318
Polyc	ZNF	393812
Prom		14192
Prom	Enh	1049347
Prom	Het	3361222
Prom	Polyc	1096384
Prom	Prom	820128
Prom	Tx	1435908
Prom	ZNF	296991
Tx		35632
Tx	Enh	1989093
Tx	Het	6815252
Tx	Polyc	2299317
Tx	Prom	1442631
Tx	Tx	3214308
Tx	ZNF	559922
ZNF		8281
ZNF	Enh	397579
ZNF	Het	1510058
ZNF	Polyc	406834
ZNF	Prom	296082
ZNF	Tx	559214
ZNF	ZNF	182089
