chromhmm_state1	chromhmm_state2	count
		49459
	Enh	21349
	Het	184791
	Polyc	40184
	Prom	14301
	Tx	31234
	ZNF	7488
Enh		19606
Enh	Enh	1426982
Enh	Het	4940231
Enh	Polyc	1693701
Enh	Prom	971441
Enh	Tx	1825906
Enh	ZNF	366098
Het		186170
Het	Enh	4951272
Het	Het	50970591
Het	Polyc	9195682
Het	Prom	3133415
Het	Tx	6288409
Het	ZNF	1407855
Polyc		39226
Polyc	Enh	1676104
Polyc	Het	9050611
Polyc	Polyc	4113534
Polyc	Prom	998055
Polyc	Tx	2071033
Polyc	ZNF	365571
Prom		12470
Prom	Enh	972174
Prom	Het	3093370
Prom	Polyc	1014824
Prom	Prom	760232
Prom	Tx	1333761
Prom	ZNF	274262
Tx		31756
Tx	Enh	1848365
Tx	Het	6280549
Tx	Polyc	2129697
Tx	Prom	1340879
Tx	Tx	3001343
Tx	ZNF	517766
ZNF		7455
ZNF	Enh	366749
ZNF	Het	1390568
ZNF	Polyc	374887
ZNF	Prom	273260
ZNF	Tx	518144
ZNF	ZNF	170838
