chromhmm_state1	chromhmm_state2	count
		40350
	Enh	15347
	Het	121076
	Polyc	28881
	Prom	10465
	Tx	22301
	ZNF	5639
Enh		13979
Enh	Enh	1039440
Enh	Het	3363824
Enh	Polyc	1217268
Enh	Prom	698147
Enh	Tx	1301556
Enh	ZNF	257388
Het		119621
Het	Enh	3369107
Het	Het	32092516
Het	Polyc	6139626
Het	Prom	2164075
Het	Tx	4226192
Het	ZNF	947789
Polyc		27667
Polyc	Enh	1200407
Polyc	Het	5982295
Polyc	Polyc	3012982
Polyc	Prom	727871
Polyc	Tx	1458400
Polyc	ZNF	255848
Prom		9070
Prom	Enh	702975
Prom	Het	2144517
Prom	Polyc	742074
Prom	Prom	544263
Prom	Tx	964192
Prom	ZNF	190432
Tx		22106
Tx	Enh	1323884
Tx	Het	4229976
Tx	Polyc	1506992
Tx	Prom	969011
Tx	Tx	2161732
Tx	ZNF	361676
ZNF		5367
ZNF	Enh	255892
ZNF	Het	939096
ZNF	Polyc	263790
ZNF	Prom	189756
ZNF	Tx	361128
ZNF	ZNF	123294
