chromhmm_state1	chromhmm_state2	count
		48790
	Enh	11052
	Het	88800
	Polyc	20063
	Prom	7772
	Tx	16912
	ZNF	4726
Enh		10222
Enh	Enh	894351
Enh	Het	2814261
Enh	Polyc	1039465
Enh	Prom	593267
Enh	Tx	1118601
Enh	ZNF	217167
Het		92160
Het	Enh	2805888
Het	Het	28132623
Het	Polyc	5060995
Het	Prom	1796169
Het	Tx	3501812
Het	ZNF	784655
Polyc		20521
Polyc	Enh	1042257
Polyc	Het	5042335
Polyc	Polyc	2712168
Polyc	Prom	627516
Polyc	Tx	1252334
Polyc	ZNF	215679
Prom		6544
Prom	Enh	595478
Prom	Het	1785920
Prom	Polyc	629234
Prom	Prom	459725
Prom	Tx	827722
Prom	ZNF	159927
Tx		17253
Tx	Enh	1130919
Tx	Het	3509391
Tx	Polyc	1271179
Tx	Prom	828943
Tx	Tx	1903589
Tx	ZNF	309441
ZNF		4422
ZNF	Enh	214838
ZNF	Het	780523
ZNF	Polyc	216884
ZNF	Prom	159095
ZNF	Tx	309656
ZNF	ZNF	110202
