chromhmm_state1	chromhmm_state2	count
		40593
	Enh	13652
	Het	110030
	Polyc	24889
	Prom	9389
	Tx	20231
	ZNF	5241
Enh		12492
Enh	Enh	983531
Enh	Het	3146412
Enh	Polyc	1146523
Enh	Prom	658450
Enh	Tx	1230009
Enh	ZNF	241494
Het		109334
Het	Enh	3148914
Het	Het	30386463
Het	Polyc	5712234
Het	Prom	2022407
Het	Tx	3943090
Het	ZNF	887392
Polyc		25101
Polyc	Enh	1139518
Polyc	Het	5622270
Polyc	Polyc	2887638
Polyc	Prom	689206
Polyc	Tx	1378674
Polyc	ZNF	240331
Prom		8102
Prom	Enh	660870
Prom	Het	2003497
Prom	Polyc	696931
Prom	Prom	512215
Prom	Tx	909569
Prom	ZNF	178636
Tx		19965
Tx	Enh	1247951
Tx	Het	3945608
Tx	Polyc	1413232
Tx	Prom	914909
Tx	Tx	2054613
Tx	ZNF	340735
ZNF		4964
ZNF	Enh	240065
ZNF	Het	877988
ZNF	Polyc	245622
ZNF	Prom	178232
ZNF	Tx	340637
ZNF	ZNF	118436
