chromhmm_state1	chromhmm_state2	count
		72946
	Enh	33783
	Het	247650
	Polyc	55433
	Prom	23041
	Tx	47639
	ZNF	15626
Enh		33914
Enh	Enh	1828417
Enh	Het	5754155
Enh	Polyc	1972634
Enh	Prom	1233636
Enh	Tx	2322466
Enh	ZNF	448201
Het		271515
Het	Enh	6059194
Het	Het	47064923
Het	Polyc	9871708
Het	Prom	3951395
Het	Tx	7938027
Het	ZNF	1669170
Polyc		58505
Polyc	Enh	2040193
Polyc	Het	9690857
Polyc	Polyc	4356766
Polyc	Prom	1278470
Polyc	Tx	2613762
Polyc	ZNF	462442
Prom		22373
Prom	Enh	1239337
Prom	Het	3710006
Prom	Polyc	1232409
Prom	Prom	981298
Prom	Tx	1698126
Prom	ZNF	327058
Tx		49762
Tx	Enh	2365244
Tx	Het	7565645
Tx	Polyc	2557220
Tx	Prom	1720985
Tx	Tx	3765501
Tx	ZNF	629297
ZNF		18168
ZNF	Enh	450128
ZNF	Het	1587909
ZNF	Polyc	450538
ZNF	Prom	330768
ZNF	Tx	629838
ZNF	ZNF	192276
