chromhmm_state1	chromhmm_state2	count
		20214
	Enh	16040
	Het	123358
	Polyc	32679
	Prom	12378
	Tx	19652
	ZNF	6490
Enh		15307
Enh	Enh	948548
Enh	Het	3239500
Enh	Polyc	1302554
Enh	Prom	702092
Enh	Tx	1052728
Enh	ZNF	309737
Het		125050
Het	Enh	3240814
Het	Het	28487695
Het	Polyc	6193234
Het	Prom	2280905
Het	Tx	3505057
Het	ZNF	1135650
Polyc		30111
Polyc	Enh	1262222
Polyc	Het	6013767
Polyc	Polyc	2811922
Polyc	Prom	848929
Polyc	Tx	1361122
Polyc	ZNF	365924
Prom		11035
Prom	Enh	699218
Prom	Het	2250015
Prom	Polyc	880207
Prom	Prom	583603
Prom	Tx	835130
Prom	ZNF	244776
Tx		19771
Tx	Enh	1069875
Tx	Het	3501770
Tx	Polyc	1435659
Tx	Prom	841922
Tx	Tx	1389694
Tx	ZNF	368779
ZNF		6099
ZNF	Enh	311483
ZNF	Het	1121191
ZNF	Polyc	385631
ZNF	Prom	246057
ZNF	Tx	368718
ZNF	ZNF	149321
