chromhmm_state1	chromhmm_state2	count
		47511
	Enh	47943
	Het	322385
	Polyc	80478
	Prom	36896
	Tx	55836
	ZNF	22976
Enh		53948
Enh	Enh	2225990
Enh	Het	7021450
Enh	Polyc	2753123
Enh	Prom	1701942
Enh	Tx	2503534
Enh	ZNF	730981
Het		391838
Het	Enh	7465217
Het	Het	49742367
Het	Polyc	12493343
Het	Prom	5450392
Het	Tx	8307414
Het	ZNF	2601674
Polyc		92894
Polyc	Enh	2849566
Polyc	Het	12224468
Polyc	Polyc	5298732
Polyc	Prom	2037418
Polyc	Tx	3188609
Polyc	ZNF	879653
Prom		39267
Prom	Enh	1672487
Prom	Het	4980462
Prom	Polyc	1926326
Prom	Prom	1406929
Prom	Tx	1975606
Prom	ZNF	573565
Tx		63233
Tx	Enh	2526086
Tx	Het	7775744
Tx	Polyc	3098577
Tx	Prom	2021606
Tx	Tx	3196952
Tx	ZNF	861238
ZNF		25417
ZNF	Enh	737009
ZNF	Het	2427038
ZNF	Polyc	855571
ZNF	Prom	589202
ZNF	Tx	865935
ZNF	ZNF	310339
