chromhmm_state1	chromhmm_state2	count
		50912
	Enh	18822
	Het	171385
	Polyc	38917
	Prom	12232
	Tx	27725
	ZNF	6563
Enh		17444
Enh	Enh	1091703
Enh	Het	4044450
Enh	Polyc	1386345
Enh	Prom	697514
Enh	Tx	1412689
Enh	ZNF	276363
Het		168510
Het	Enh	4047911
Het	Het	42698214
Het	Polyc	7772939
Het	Prom	2491772
Het	Tx	5215526
Het	ZNF	1150778
Polyc		35469
Polyc	Enh	1358863
Polyc	Het	7577190
Polyc	Polyc	3489753
Polyc	Prom	789118
Polyc	Tx	1697750
Polyc	ZNF	297241
Prom		10698
Prom	Enh	700598
Prom	Het	2468002
Prom	Polyc	810705
Prom	Prom	506654
Prom	Tx	988631
Prom	ZNF	194503
Tx		27671
Tx	Enh	1435159
Tx	Het	5218612
Tx	Polyc	1766637
Tx	Prom	991096
Tx	Tx	2368522
Tx	ZNF	399763
ZNF		6151
ZNF	Enh	274992
ZNF	Het	1140236
ZNF	Polyc	308913
ZNF	Prom	192658
ZNF	Tx	397792
ZNF	ZNF	130229
