chromhmm_state1	chromhmm_state2	count
		50820
	Enh	16420
	Het	152446
	Polyc	32970
	Prom	10674
	Tx	24563
	ZNF	5957
Enh		15295
Enh	Enh	1023113
Enh	Het	3725314
Enh	Polyc	1289914
Enh	Prom	652711
Enh	Tx	1320692
Enh	ZNF	256533
Het		151942
Het	Enh	3729047
Het	Het	39832273
Het	Polyc	7134546
Het	Prom	2294288
Het	Tx	4795757
Het	ZNF	1062600
Polyc		31566
Polyc	Enh	1276009
Polyc	Het	7035466
Polyc	Polyc	3313873
Polyc	Prom	738909
Polyc	Tx	1586717
Polyc	ZNF	275386
Prom		9340
Prom	Enh	653278
Prom	Het	2268872
Prom	Polyc	751164
Prom	Prom	473749
Prom	Tx	924024
Prom	ZNF	180800
Tx		24570
Tx	Enh	1338082
Tx	Het	4790273
Tx	Polyc	1634112
Tx	Prom	926942
Tx	Tx	2229357
Tx	ZNF	372113
ZNF		5643
ZNF	Enh	254991
ZNF	Het	1049535
ZNF	Polyc	283773
ZNF	Prom	179391
ZNF	Tx	371059
ZNF	ZNF	124151
