chromhmm_state1	chromhmm_state2	count
		50791
	Enh	13205
	Het	119709
	Polyc	25966
	Prom	8885
	Tx	20624
	ZNF	5167
Enh		12397
Enh	Enh	936846
Enh	Het	3340280
Enh	Polyc	1173587
Enh	Prom	593514
Enh	Tx	1209694
Enh	ZNF	232303
Het		128150
Het	Enh	3336861
Het	Het	36267932
Het	Polyc	6338417
Het	Prom	2047763
Het	Tx	4303659
Het	ZNF	946029
Polyc		25619
Polyc	Enh	1171085
Polyc	Het	6322901
Polyc	Polyc	3089805
Polyc	Prom	677183
Polyc	Tx	1456193
Polyc	ZNF	249129
Prom		7608
Prom	Enh	594535
Prom	Het	2035190
Prom	Polyc	684296
Prom	Prom	432594
Prom	Tx	849683
Prom	ZNF	162727
Tx		20978
Tx	Enh	1222219
Tx	Het	4300888
Tx	Polyc	1486714
Tx	Prom	850121
Tx	Tx	2077783
Tx	ZNF	339399
ZNF		5142
ZNF	Enh	230472
ZNF	Het	936792
ZNF	Polyc	252716
ZNF	Prom	161475
ZNF	Tx	338553
ZNF	ZNF	114281
