chromhmm_state1	chromhmm_state2	count
		37702
	Enh	16727
	Het	154173
	Polyc	33462
	Prom	10898
	Tx	25023
	ZNF	5857
Enh		15598
Enh	Enh	1021854
Enh	Het	3751006
Enh	Polyc	1289262
Enh	Prom	652723
Enh	Tx	1323464
Enh	ZNF	256478
Het		153859
Het	Enh	3758190
Het	Het	39063302
Het	Polyc	7156139
Het	Prom	2312725
Het	Tx	4875145
Het	ZNF	1077346
Polyc		31990
Polyc	Enh	1274190
Polyc	Het	7043693
Polyc	Polyc	3230271
Polyc	Prom	738528
Polyc	Tx	1598804
Polyc	ZNF	277421
Prom		9599
Prom	Enh	653680
Prom	Het	2289550
Prom	Polyc	753648
Prom	Prom	475002
Prom	Tx	923662
Prom	ZNF	180363
Tx		24712
Tx	Enh	1341081
Tx	Het	4868116
Tx	Polyc	1651678
Tx	Prom	928056
Tx	Tx	2216431
Tx	ZNF	369714
ZNF		5803
ZNF	Enh	256390
ZNF	Het	1061834
ZNF	Polyc	286731
ZNF	Prom	179447
ZNF	Tx	368541
ZNF	ZNF	121543
