chromhmm_state1	chromhmm_state2	count
		51470
	Enh	19568
	Het	177601
	Polyc	40103
	Prom	12556
	Tx	28870
	ZNF	6651
Enh		18069
Enh	Enh	1115300
Enh	Het	4165508
Enh	Polyc	1418726
Enh	Prom	712876
Enh	Tx	1450314
Enh	ZNF	282736
Het		174156
Het	Enh	4172525
Het	Het	44005132
Het	Polyc	7998390
Het	Prom	2572858
Het	Tx	5413427
Het	ZNF	1192290
Polyc		36403
Polyc	Enh	1390194
Polyc	Het	7785076
Polyc	Polyc	3549203
Polyc	Prom	810407
Polyc	Tx	1748146
Polyc	ZNF	305609
Prom		11167
Prom	Enh	716623
Prom	Het	2552051
Prom	Polyc	833609
Prom	Prom	518915
Prom	Tx	1016530
Prom	ZNF	198893
Tx		28542
Tx	Enh	1473597
Tx	Het	5414043
Tx	Polyc	1821990
Tx	Prom	1020215
Tx	Tx	2442443
Tx	ZNF	411659
ZNF		6631
ZNF	Enh	282647
ZNF	Het	1180253
ZNF	Polyc	318547
ZNF	Prom	197437
ZNF	Tx	409366
ZNF	ZNF	132553
