chromhmm_state1	chromhmm_state2	count
		40727
	Enh	13060
	Het	117088
	Polyc	25722
	Prom	8834
	Tx	20413
	ZNF	5046
Enh		12325
Enh	Enh	921507
Enh	Het	3281366
Enh	Polyc	1155296
Enh	Prom	584304
Enh	Tx	1189102
Enh	ZNF	227931
Het		126043
Het	Enh	3278643
Het	Het	34678191
Het	Polyc	6214075
Het	Prom	2009629
Het	Tx	4236846
Het	ZNF	928819
Polyc		25321
Polyc	Enh	1152485
Polyc	Het	6199920
Polyc	Polyc	2995619
Polyc	Prom	664704
Polyc	Tx	1435975
Polyc	ZNF	245405
Prom		7546
Prom	Enh	585307
Prom	Het	1996302
Prom	Polyc	672475
Prom	Prom	425961
Prom	Tx	832528
Prom	ZNF	159543
Tx		20736
Tx	Enh	1201659
Tx	Het	4234072
Tx	Polyc	1466999
Tx	Prom	833004
Tx	Tx	2021517
Tx	ZNF	329740
ZNF		4971
ZNF	Enh	226188
ZNF	Het	918663
ZNF	Polyc	249219
ZNF	Prom	158321
ZNF	Tx	329077
ZNF	ZNF	110474
