chromhmm_state1	chromhmm_state2	count
		38871
	Enh	16172
	Het	146469
	Polyc	33275
	Prom	10302
	Tx	23953
	ZNF	5669
Enh		14715
Enh	Enh	1006111
Enh	Het	3624357
Enh	Polyc	1231564
Enh	Prom	660344
Enh	Tx	1293837
Enh	ZNF	256468
Het		142362
Het	Enh	3632058
Het	Het	38863729
Het	Polyc	7011192
Het	Prom	2231785
Het	Tx	4649788
Het	ZNF	1032740
Polyc		30035
Polyc	Enh	1209500
Polyc	Het	6842179
Polyc	Polyc	3131268
Polyc	Prom	702144
Polyc	Tx	1509142
Polyc	ZNF	264160
Prom		9090
Prom	Enh	662811
Prom	Het	2210662
Prom	Polyc	719258
Prom	Prom	504482
Prom	Tx	929793
Prom	ZNF	186206
Tx		23688
Tx	Enh	1315276
Tx	Het	4651444
Tx	Polyc	1567707
Tx	Prom	933017
Tx	Tx	2207136
Tx	ZNF	371085
ZNF		5433
ZNF	Enh	255619
ZNF	Het	1022269
ZNF	Polyc	273564
ZNF	Prom	185081
ZNF	Tx	369157
ZNF	ZNF	123861
