chromhmm_state1	chromhmm_state2	count
		49487
	Enh	14350
	Het	133330
	Polyc	28575
	Prom	9139
	Tx	21690
	ZNF	5306
Enh		13099
Enh	Enh	962456
Enh	Het	3424217
Enh	Polyc	1172490
Enh	Prom	628552
Enh	Tx	1236489
Enh	ZNF	243624
Het		131520
Het	Enh	3426534
Het	Het	37998146
Het	Polyc	6596046
Het	Prom	2105131
Het	Tx	4374891
Het	ZNF	977050
Polyc		27295
Polyc	Enh	1160944
Polyc	Het	6511437
Polyc	Polyc	3080698
Polyc	Prom	673992
Polyc	Tx	1440012
Polyc	ZNF	250521
Prom		8086
Prom	Enh	629401
Prom	Het	2087256
Prom	Polyc	684161
Prom	Prom	478914
Prom	Tx	888984
Prom	ZNF	176943
Tx		21580
Tx	Enh	1254374
Tx	Het	4374189
Tx	Polyc	1483482
Tx	Prom	892530
Tx	Tx	2140224
Tx	ZNF	356199
ZNF		5185
ZNF	Enh	242388
ZNF	Het	966255
ZNF	Polyc	256971
ZNF	Prom	175726
ZNF	Tx	354820
ZNF	ZNF	121785
