chromhmm_state1	chromhmm_state2	count
		38877
	Enh	14188
	Het	130556
	Polyc	28269
	Prom	9059
	Tx	21461
	ZNF	5171
Enh		13018
Enh	Enh	948722
Enh	Het	3366780
Enh	Polyc	1154052
Enh	Prom	620602
Enh	Tx	1217301
Enh	ZNF	239753
Het		129101
Het	Enh	3369835
Het	Het	36396984
Het	Polyc	6467884
Het	Prom	2068219
Het	Tx	4308375
Het	ZNF	960369
Polyc		26950
Polyc	Enh	1141964
Polyc	Het	6385990
Polyc	Polyc	2984711
Polyc	Prom	661348
Polyc	Tx	1419570
Polyc	ZNF	246654
Prom		8030
Prom	Enh	621397
Prom	Het	2049882
Prom	Polyc	672108
Prom	Prom	473412
Prom	Tx	873936
Prom	ZNF	174125
Tx		21296
Tx	Enh	1235184
Tx	Het	4307730
Tx	Polyc	1463196
Tx	Prom	877252
Tx	Tx	2088596
Tx	ZNF	347615
ZNF		4987
ZNF	Enh	238646
ZNF	Het	948869
ZNF	Polyc	253266
ZNF	Prom	173006
ZNF	Tx	346209
ZNF	ZNF	118459
