chromhmm_state1	chromhmm_state2	count
		28172
	Enh	23977
	Het	145839
	Polyc	37740
	Prom	18466
	Tx	27386
	ZNF	11124
Enh		27449
Enh	Enh	1142815
Enh	Het	3455271
Enh	Polyc	1445774
Enh	Prom	861301
Enh	Tx	1234464
Enh	ZNF	348493
Het		184199
Het	Enh	3711421
Het	Het	23483282
Het	Polyc	6045097
Het	Prom	2750110
Het	Tx	4005655
Het	ZNF	1241238
Polyc		46863
Polyc	Enh	1508349
Polyc	Het	5891027
Polyc	Polyc	2799065
Polyc	Prom	1093933
Polyc	Tx	1636604
Polyc	ZNF	446375
Prom		20673
Prom	Enh	843586
Prom	Het	2477292
Prom	Polyc	1024265
Prom	Prom	723744
Prom	Tx	983309
Prom	ZNF	272444
Tx		31927
Tx	Enh	1239576
Tx	Het	3698010
Tx	Polyc	1573544
Tx	Prom	1003572
Tx	Tx	1565888
Tx	ZNF	400205
ZNF		13608
ZNF	Enh	348342
ZNF	Het	1145930
ZNF	Polyc	429319
ZNF	Prom	278400
ZNF	Tx	401358
ZNF	ZNF	150198
