chromhmm_state1	chromhmm_state2	count
		27129
	Enh	13925
	Het	88979
	Polyc	24568
	Prom	10809
	Tx	16777
	ZNF	5453
Enh		12564
Enh	Enh	973875
Enh	Het	2839414
Enh	Polyc	1238330
Enh	Prom	750045
Enh	Tx	1056497
Enh	ZNF	312715
Het		90755
Het	Enh	2843213
Het	Het	22326663
Het	Polyc	5130791
Het	Prom	2041273
Het	Tx	3022701
Het	ZNF	990142
Polyc		24606
Polyc	Enh	1215517
Polyc	Het	5076595
Polyc	Polyc	2587699
Polyc	Prom	840283
Polyc	Tx	1298301
Polyc	ZNF	347692
Prom		9527
Prom	Enh	745747
Prom	Het	2015291
Prom	Polyc	857303
Prom	Prom	654019
Prom	Tx	865478
Prom	ZNF	256869
Tx		16974
Tx	Enh	1073287
Tx	Het	3023476
Tx	Polyc	1351888
Tx	Prom	875088
Tx	Tx	1377775
Tx	ZNF	362128
ZNF		5452
ZNF	Enh	314329
ZNF	Het	975529
ZNF	Polyc	360450
ZNF	Prom	258924
ZNF	Tx	363144
ZNF	ZNF	150334
