chromhmm_state1	chromhmm_state2	count
		45256
	Enh	43189
	Het	246394
	Polyc	67177
	Prom	33202
	Tx	48775
	ZNF	20154
Enh		45943
Enh	Enh	2323455
Enh	Het	6187266
Enh	Polyc	2585125
Enh	Prom	1856356
Enh	Tx	2523791
Enh	ZNF	747946
Het		287833
Het	Enh	6557905
Het	Het	38340624
Het	Polyc	10341434
Het	Prom	4888052
Het	Tx	7148835
Het	ZNF	2245084
Polyc		76032
Polyc	Enh	2669494
Polyc	Het	10138669
Polyc	Polyc	4695287
Polyc	Prom	1955314
Polyc	Tx	2936584
Polyc	ZNF	811579
Prom		34091
Prom	Enh	1829855
Prom	Het	4494057
Prom	Polyc	1859856
Prom	Prom	1623690
Prom	Tx	2074530
Prom	ZNF	613564
Tx		53502
Tx	Enh	2553591
Tx	Het	6733422
Tx	Polyc	2873500
Tx	Prom	2123265
Tx	Tx	3165107
Tx	ZNF	850936
ZNF		22729
ZNF	Enh	756672
ZNF	Het	2107519
ZNF	Polyc	790800
ZNF	Prom	630121
ZNF	Tx	854768
ZNF	ZNF	313800
