chromhmm_state1	chromhmm_state2	count
		48787
	Enh	19434
	Het	141109
	Polyc	36431
	Prom	12769
	Tx	27615
	ZNF	6259
Enh		17492
Enh	Enh	1267055
Enh	Het	4048062
Enh	Polyc	1481078
Enh	Prom	852132
Enh	Tx	1602951
Enh	ZNF	316489
Het		138141
Het	Enh	4052088
Het	Het	36195890
Het	Polyc	7264136
Het	Prom	2577126
Het	Tx	5116884
Het	ZNF	1134608
Polyc		33915
Polyc	Enh	1456560
Polyc	Het	7104726
Polyc	Polyc	3509027
Polyc	Prom	878238
Polyc	Tx	1795703
Polyc	ZNF	314305
Prom		11262
Prom	Enh	857576
Prom	Het	2560530
Prom	Polyc	900265
Prom	Prom	658622
Prom	Tx	1168954
Prom	ZNF	233331
Tx		27589
Tx	Enh	1626954
Tx	Het	5125281
Tx	Polyc	1866680
Tx	Prom	1174448
Tx	Tx	2608189
Tx	ZNF	441054
ZNF		6180
ZNF	Enh	314264
ZNF	Het	1123276
ZNF	Polyc	325596
ZNF	Prom	232203
ZNF	Tx	439509
ZNF	ZNF	143120
