chromhmm_state1	chromhmm_state2	count
		39522
	Enh	13838
	Het	98889
	Polyc	24938
	Prom	9250
	Tx	20470
	ZNF	4898
Enh		12532
Enh	Enh	1072447
Enh	Het	3328439
Enh	Polyc	1251038
Enh	Prom	712633
Enh	Tx	1355531
Enh	ZNF	261971
Het		102178
Het	Enh	3316314
Het	Het	29888501
Het	Polyc	5902569
Het	Prom	2096999
Het	Tx	4181583
Het	ZNF	919525
Polyc		24986
Polyc	Enh	1250362
Polyc	Het	5903604
Polyc	Polyc	3085903
Polyc	Prom	746709
Polyc	Tx	1531034
Polyc	ZNF	262164
Prom		7877
Prom	Enh	714971
Prom	Het	2090050
Prom	Polyc	753362
Prom	Prom	548376
Prom	Tx	986178
Prom	ZNF	192102
Tx		20913
Tx	Enh	1368490
Tx	Het	4194927
Tx	Polyc	1563698
Tx	Prom	987639
Tx	Tx	2236944
Tx	ZNF	366761
ZNF		4752
ZNF	Enh	258822
ZNF	Het	913339
ZNF	Polyc	265774
ZNF	Prom	190747
ZNF	Tx	367102
ZNF	ZNF	122598
