chromhmm_state1	chromhmm_state2	count
		41476
	Enh	13163
	Het	109081
	Polyc	40536
	Prom	8129
	Tx	20580
	ZNF	2611
Enh		13350
Enh	Enh	1402466
Enh	Het	2200002
Enh	Polyc	1602848
Enh	Prom	547623
Enh	Tx	1643403
Enh	ZNF	135573
Het		104443
Het	Enh	2214479
Het	Het	24044412
Het	Polyc	5520772
Het	Prom	1011773
Het	Tx	3192243
Het	ZNF	297392
Polyc		34193
Polyc	Enh	1608977
Polyc	Het	5478488
Polyc	Polyc	4948679
Polyc	Prom	805679
Polyc	Tx	2283458
Polyc	ZNF	181341
Prom		7168
Prom	Enh	553559
Prom	Het	1008294
Prom	Polyc	806918
Prom	Prom	331389
Prom	Tx	819699
Prom	ZNF	76041
Tx		19452
Tx	Enh	1654250
Tx	Het	3156066
Tx	Polyc	2298447
Tx	Prom	817078
Tx	Tx	2774548
Tx	ZNF	213533
ZNF		2480
ZNF	Enh	132737
ZNF	Het	291573
ZNF	Polyc	179710
ZNF	Prom	73297
ZNF	Tx	209828
ZNF	ZNF	56281
