chromhmm_state1	chromhmm_state2	count
		53701
	Enh	25237
	Het	171637
	Polyc	65266
	Prom	15096
	Tx	38461
	ZNF	6821
Enh		26153
Enh	Enh	2052997
Enh	Het	3133540
Enh	Polyc	2347919
Enh	Prom	857501
Enh	Tx	2436526
Enh	ZNF	212876
Het		182080
Het	Enh	3291137
Het	Het	28580124
Het	Polyc	7766468
Het	Prom	1560233
Het	Tx	4797741
Het	ZNF	472793
Polyc		63282
Polyc	Enh	2331790
Polyc	Het	7381040
Polyc	Polyc	6450986
Polyc	Prom	1182552
Polyc	Tx	3340741
Polyc	ZNF	285830
Prom		13499
Prom	Enh	830734
Prom	Het	1433356
Prom	Polyc	1156352
Prom	Prom	510836
Prom	Tx	1195585
Prom	ZNF	112910
Tx		38388
Tx	Enh	2436534
Tx	Het	4527769
Tx	Polyc	3376302
Tx	Prom	1234094
Tx	Tx	3992803
Tx	ZNF	321632
ZNF		5596
ZNF	Enh	193775
ZNF	Het	404119
ZNF	Polyc	263020
ZNF	Prom	105358
ZNF	Tx	294596
ZNF	ZNF	72748
