chromhmm_state1	chromhmm_state2	count
		43746
	Enh	14582
	Het	119050
	Polyc	44695
	Prom	8886
	Tx	22670
	ZNF	2760
Enh		14479
Enh	Enh	1493044
Enh	Het	2363979
Enh	Polyc	1733010
Enh	Prom	584401
Enh	Tx	1768703
Enh	ZNF	145672
Het		114784
Het	Enh	2381814
Het	Het	25673898
Het	Polyc	5971588
Het	Prom	1084318
Het	Tx	3452931
Het	ZNF	323303
Polyc		38441
Polyc	Enh	1740814
Polyc	Het	5929039
Polyc	Polyc	5292750
Polyc	Prom	868136
Polyc	Tx	2481620
Polyc	ZNF	196925
Prom		7841
Prom	Enh	589693
Prom	Het	1078866
Prom	Polyc	866832
Prom	Prom	351353
Prom	Tx	877148
Prom	ZNF	81089
Tx		21735
Tx	Enh	1782988
Tx	Het	3411903
Tx	Polyc	2493668
Tx	Prom	877230
Tx	Tx	2971622
Tx	ZNF	229293
ZNF		2773
ZNF	Enh	142618
ZNF	Het	314430
ZNF	Polyc	196312
ZNF	Prom	78453
ZNF	Tx	226351
ZNF	ZNF	60297
