chromhmm_state1	chromhmm_state2	count
		36907
	Enh	14525
	Het	117984
	Polyc	44524
	Prom	8865
	Tx	22576
	ZNF	2738
Enh		14446
Enh	Enh	1482909
Enh	Het	2343242
Enh	Polyc	1719881
Enh	Prom	581239
Enh	Tx	1754741
Enh	ZNF	144531
Het		113758
Het	Enh	2360962
Het	Het	24870709
Het	Polyc	5921321
Het	Prom	1073021
Het	Tx	3425362
Het	ZNF	319518
Polyc		38268
Polyc	Enh	1727480
Polyc	Het	5879072
Polyc	Polyc	5198750
Polyc	Prom	858496
Polyc	Tx	2459654
Polyc	ZNF	195399
Prom		7796
Prom	Enh	586594
Prom	Het	1067374
Prom	Polyc	857170
Prom	Prom	349162
Prom	Tx	868887
Prom	ZNF	80319
Tx		21658
Tx	Enh	1769132
Tx	Het	3384239
Tx	Polyc	2471818
Tx	Prom	868928
Tx	Tx	2920608
Tx	ZNF	225819
ZNF		2762
ZNF	Enh	141518
ZNF	Het	310690
ZNF	Polyc	194737
ZNF	Prom	77630
ZNF	Tx	222557
ZNF	ZNF	58673
