chromhmm_state1	chromhmm_state2	count
		1053
	Enh	76
	Het	351
	Polyc	299
	Prom	46
	Tx	94
	ZNF	16
Enh		131
Enh	Enh	65753
Enh	Het	24482
Enh	Polyc	32790
Enh	Prom	15582
Enh	Tx	43064
Enh	ZNF	4271
Het		291
Het	Enh	24625
Het	Het	159274
Het	Polyc	29675
Het	Prom	7708
Het	Tx	19237
Het	ZNF	2217
Polyc		264
Polyc	Enh	32220
Polyc	Het	29354
Polyc	Polyc	140930
Polyc	Prom	15904
Polyc	Tx	25364
Polyc	ZNF	1954
Prom		38
Prom	Enh	15750
Prom	Het	7509
Prom	Polyc	15638
Prom	Prom	10220
Prom	Tx	20425
Prom	ZNF	1571
Tx		80
Tx	Enh	42884
Tx	Het	19473
Tx	Polyc	25482
Tx	Prom	20199
Tx	Tx	88900
Tx	ZNF	5891
ZNF		16
ZNF	Enh	4033
ZNF	Het	2167
ZNF	Polyc	2056
ZNF	Prom	1512
ZNF	Tx	5973
ZNF	ZNF	2120
