chromhmm_state1	chromhmm_state2	count
		20283
	Enh	13530
	Het	78441
	Polyc	31959
	Prom	10981
	Tx	18249
	ZNF	5079
Enh		14656
Enh	Enh	1115783
Enh	Het	1660545
Enh	Polyc	1292086
Enh	Prom	643309
Enh	Tx	1186958
Enh	ZNF	191417
Het		85264
Het	Enh	1766349
Het	Het	12829102
Het	Polyc	3969041
Het	Prom	1177178
Het	Tx	2332690
Het	ZNF	391956
Polyc		31999
Polyc	Enh	1278688
Polyc	Het	3730771
Polyc	Polyc	3101019
Polyc	Prom	887288
Polyc	Tx	1643515
Polyc	ZNF	257472
Prom		10299
Prom	Enh	612009
Prom	Het	1057123
Prom	Polyc	858709
Prom	Prom	484306
Prom	Tx	772860
Prom	ZNF	129315
Tx		19203
Tx	Enh	1191289
Tx	Het	2187075
Tx	Polyc	1666779
Tx	Prom	813005
Tx	Tx	1653913
Tx	ZNF	246351
ZNF		4396
ZNF	Enh	174108
ZNF	Het	334736
ZNF	Polyc	238529
ZNF	Prom	122759
ZNF	Tx	225130
ZNF	ZNF	66815
