chromhmm_state1	chromhmm_state2	count
		22654
	Enh	12059
	Het	93154
	Polyc	34534
	Prom	10191
	Tx	17200
	ZNF	3432
Enh		12531
Enh	Enh	1107804
Enh	Het	1937489
Enh	Polyc	1331388
Enh	Prom	609345
Enh	Tx	1230819
Enh	ZNF	182447
Het		90379
Het	Enh	1962844
Het	Het	19056445
Het	Polyc	4941589
Het	Prom	1288959
Het	Tx	2737188
Het	ZNF	424135
Polyc		30150
Polyc	Enh	1344896
Polyc	Het	4911980
Polyc	Polyc	3536296
Polyc	Prom	915550
Polyc	Tx	1787846
Polyc	ZNF	262202
Prom		9212
Prom	Enh	616668
Prom	Het	1279455
Prom	Polyc	915755
Prom	Prom	465639
Prom	Tx	807389
Prom	ZNF	130796
Tx		16906
Tx	Enh	1248315
Tx	Het	2695857
Tx	Polyc	1793624
Tx	Prom	809244
Tx	Tx	1734940
Tx	ZNF	247678
ZNF		3418
ZNF	Enh	180088
ZNF	Het	417014
ZNF	Polyc	257865
ZNF	Prom	126461
ZNF	Tx	240619
ZNF	ZNF	70709
