chromhmm_state1	chromhmm_state2	count
		41940
	Enh	13702
	Het	106911
	Polyc	40295
	Prom	8089
	Tx	21261
	ZNF	2598
Enh		14010
Enh	Enh	1528772
Enh	Het	2504399
Enh	Polyc	1763090
Enh	Prom	567468
Enh	Tx	1828213
Enh	ZNF	148948
Het		103913
Het	Enh	2528031
Het	Het	25635552
Het	Polyc	5943707
Het	Prom	1097373
Het	Tx	3678547
Het	ZNF	330693
Polyc		35314
Polyc	Enh	1768874
Polyc	Het	5877085
Polyc	Polyc	5184731
Polyc	Prom	841085
Polyc	Tx	2534584
Polyc	ZNF	199532
Prom		7248
Prom	Enh	570399
Prom	Het	1087603
Prom	Polyc	841254
Prom	Prom	319836
Prom	Tx	856450
Prom	ZNF	78200
Tx		20847
Tx	Enh	1841716
Tx	Het	3632435
Tx	Polyc	2553109
Tx	Prom	857855
Tx	Tx	3080218
Tx	ZNF	235579
ZNF		2621
ZNF	Enh	145953
ZNF	Het	324228
ZNF	Polyc	196675
ZNF	Prom	76188
ZNF	Tx	231727
ZNF	ZNF	61188
