chromhmm_state1	chromhmm_state2	count
		34936
	Enh	13638
	Het	105678
	Polyc	40051
	Prom	8059
	Tx	21136
	ZNF	2572
Enh		13974
Enh	Enh	1516790
Enh	Het	2480334
Enh	Polyc	1745841
Enh	Prom	563270
Enh	Tx	1811803
Enh	ZNF	147649
Het		102605
Het	Enh	2504133
Het	Het	24684009
Het	Polyc	5880856
Het	Prom	1083482
Het	Tx	3645903
Het	ZNF	326504
Polyc		35066
Polyc	Enh	1751512
Polyc	Het	5813573
Polyc	Polyc	5069708
Polyc	Prom	828512
Polyc	Tx	2506701
Polyc	ZNF	197473
Prom		7186
Prom	Enh	566426
Prom	Het	1073812
Prom	Polyc	828693
Prom	Prom	316658
Prom	Tx	846443
Prom	ZNF	77273
Tx		20755
Tx	Enh	1825234
Tx	Het	3599733
Tx	Polyc	2525622
Tx	Prom	847754
Tx	Tx	3025925
Tx	ZNF	231725
ZNF		2601
ZNF	Enh	144578
ZNF	Het	320087
ZNF	Polyc	194608
ZNF	Prom	75232
ZNF	Tx	227629
ZNF	ZNF	59732
