chromhmm_state1	chromhmm_state2	count
		58387
	Enh	27800
	Het	191506
	Polyc	67481
	Prom	15701
	Tx	44967
	ZNF	7031
Enh		29750
Enh	Enh	1966148
Enh	Het	3832665
Enh	Polyc	2483874
Enh	Prom	768404
Enh	Tx	2546662
Enh	ZNF	224012
Het		208288
Het	Enh	4080721
Het	Het	35430358
Het	Polyc	8956857
Het	Prom	1896834
Het	Tx	6226912
Het	ZNF	605224
Polyc		67020
Polyc	Enh	2462359
Polyc	Het	8361374
Polyc	Polyc	6603378
Polyc	Prom	1206108
Polyc	Tx	3734501
Polyc	ZNF	323756
Prom		14463
Prom	Enh	737691
Prom	Het	1693265
Prom	Polyc	1168684
Prom	Prom	428240
Prom	Tx	1168459
Prom	ZNF	110268
Tx		46361
Tx	Enh	2544818
Tx	Het	5808669
Tx	Polyc	3769633
Tx	Prom	1217636
Tx	Tx	4422561
Tx	ZNF	360442
ZNF		6037
ZNF	Enh	199894
ZNF	Het	499800
ZNF	Polyc	290380
ZNF	Prom	102630
ZNF	Tx	326420
ZNF	ZNF	77549
