chromhmm_state1	chromhmm_state2	count
		57493
	Enh	28727
	Het	190045
	Polyc	68512
	Prom	15970
	Tx	45314
	ZNF	6928
Enh		30220
Enh	Enh	2055202
Enh	Het	3926754
Enh	Polyc	2602353
Enh	Prom	820464
Enh	Tx	2645555
Enh	ZNF	232200
Het		207340
Het	Enh	4188941
Het	Het	35649595
Het	Polyc	9203031
Het	Prom	1962489
Het	Tx	6347862
Het	ZNF	617036
Polyc		67826
Polyc	Enh	2583377
Polyc	Het	8588398
Polyc	Polyc	6861704
Polyc	Prom	1280857
Polyc	Tx	3884783
Polyc	ZNF	338381
Prom		14972
Prom	Enh	785552
Prom	Het	1753293
Prom	Polyc	1238054
Prom	Prom	461574
Prom	Tx	1229933
Prom	ZNF	116217
Tx		46700
Tx	Enh	2644173
Tx	Het	5915571
Tx	Polyc	3921137
Tx	Prom	1280543
Tx	Tx	4539920
Tx	ZNF	372036
ZNF		5960
ZNF	Enh	206770
ZNF	Het	507630
ZNF	Polyc	303634
ZNF	Prom	107689
ZNF	Tx	336228
ZNF	ZNF	79380
