exp	dist_thr	count_thr	contacts_tot	contacts_preprocessed	contacts_filtered	alpha
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0	97050661	161222136	6687239	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0	97050661	161222136	24407	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.01	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.01	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.05	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.05	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.1	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.1	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.25	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.25	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0	97050661	206959937	8159184	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0	97050661	206959937	46299	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0.01	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0.01	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0.05	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0.05	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0.1	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0.1	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0.25	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0.25	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0	97050661	192655977	7489782	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0	97050661	192655977	37755	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0.01	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0.01	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0.05	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0.05	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0.1	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0.1	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0.25	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	25000000	0.25	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0	97050661	136305992	6132517	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0	97050661	136305992	16997	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.01	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.01	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.05	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.05	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.1	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.1	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.25	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	5000000	0.25	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0	97050661	198928328	7972305	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0	97050661	198928328	42141	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.01	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.01	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.05	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.05	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.1	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.1	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.25	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	50000000	0.25	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0	97050661	161222136	7375860	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0	97050661	161222136	10177	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.01	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.01	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.05	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.05	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.1	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.1	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.25	97050661	0	0	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	10000000	0.25	97050661	0	0	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0	97050661	206959937	8927308	optimal
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0	97050661	206959937	25003	0.05
IMR90_set1_bio1_tec5_4DNFIAAUZ7EP_10kb	100000000	0.01	97050661	0	0	optimal
