file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	97680434	64237050	30167451	0.2289749027994551	4281294	3383772	697855	0.10016274804939881
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	97680434	64237050	30167451	0.2289749027994551	10755	4628	1268	0.08983351044987602
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	96171129	63262076	28455580	0.2172552754716693	5236892	3668305	892103	0.11133065455116338
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	96171129	63262076	28455580	0.2172552754716693	9628	4088	1115	0.08848504086977224
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	90130583	59686334	23375243	0.18486976849104356	5730259	4435340	1093845	0.12057701300101392
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	90130583	59686334	23375243	0.18486976849104356	6698	2901	789	0.08955732122587969
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	59060260	26027340	11737347	0.1600178120721683	4134856	2375938	613867	0.10409947418375706
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	59060260	26027340	11737347	0.1600178120721683	3742	1002	303	0.06822787660436838
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	21282190	13397930	6502586	0.23077200439186765	2634243	1804136	372937	0.09173344497351088
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	21282190	13397930	6502586	0.23077200439186765	19	25	15	0.5172413793103449
