file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	97680434	63590135	29841470	0.22705375162010355	4281294	3419030	695779	0.09933250482365379
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	97680434	63590135	29841470	0.22705375162010355	10755	4322	1165	0.08374065554916618
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	96171129	62694711	28195528	0.21577608232847872	5236892	3610080	880240	0.11048947046292006
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	96171129	62694711	28195528	0.21577608232847872	9628	3843	1015	0.08148683365446371
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	90130583	59184305	23154455	0.18353182887379596	5730259	4556923	1098799	0.11958567682692374
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	90130583	59184305	23154455	0.18353182887379596	6698	2719	731	0.08415841584158416
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	59060260	20979231	10278730	0.14734257271075354	4134856	2127757	555903	0.09741216918329475
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	59060260	20979231	10278730	0.14734257271075354	3742	582	196	0.04748062015503876
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	21282190	13152106	6418404	0.22909868441811526	2634243	1768884	364463	0.0902434567470827
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	21282190	13152106	6418404	0.22909868441811526	19	20	14	0.56
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	142967847	88418806	30271446	0.1505179367167397	5703239	4098414	1079959	0.12382445428605957
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	142967847	88418806	30271446	0.1505179367167397	22574	9341	2694	0.09219397009000377
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	140853348	87073463	28014565	0.14013431173195864	6006675	5093462	1279430	0.1302788078292123
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	140853348	87073463	28014565	0.14013431173195864	21049	8767	2479	0.09068295716428285
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	128783340	75643790	21830798	0.1195577028349069	6475384	7299671	1619207	0.1332039525337928
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	128783340	75643790	21830798	0.1195577028349069	16876	6749	1959	0.09041816671282193
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	22735975	14038965	6650238	0.22075697213535922	2741649	1833605	386248	0.0922051675266161
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	22735975	14038965	6650238	0.22075697213535922	170	114	64	0.2909090909090909
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	21676735	13279555	6423129	0.2251110208224038	2695398	1800382	374339	0.09082721310337816
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	21676735	13279555	6423129	0.2251110208224038	55	56	47	0.734375
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	117661227	74526259	30098945	0.18569446559457894	5137938	3713122	893550	0.11229015106484315
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	117661227	74526259	30098945	0.18569446559457894	15982	6536	1976	0.09619316522247104
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.01	min	optimal	115890459	73524201	28242236	0.1752299512477395	5698118	4199863	1067555	0.12089507346531186
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.01	min	0.05	115890459	73524201	28242236	0.1752299512477395	14641	6008	1769	0.09369703389830508
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.05	min	optimal	105221320	67080353	22654475	0.15138589497679736	6046662	5190076	1253822	0.12559676952104976
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.05	min	0.05	105221320	67080353	22654475	0.15138589497679736	10948	4487	1346	0.09553552416779047
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.1	min	optimal	26462552	16716361	7469225	0.20916522709467525	2812138	1945779	413038	0.09506317667304429
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.1	min	0.05	26462552	16716361	7469225	0.20916522709467525	606	318	153	0.19844357976653695
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.25	min	optimal	21518677	13228128	6421449	0.22670320542484973	2655764	1797736	370329	0.09069642197204085
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.25	min	0.05	21518677	13228128	6421449	0.22670320542484973	55	53	47	0.7704918032786885
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.0	min	optimal	85107957	56793811	29584052	0.26339613244984433	3766141	3089452	564007	0.08964464603996512
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.0	min	0.05	85107957	56793811	29584052	0.26339613244984433	8153	3262	910	0.08662541646834841
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.01	min	optimal	83638348	55944266	27995072	0.25087990557225465	4434061	3382971	718401	0.10120275303787449
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.01	min	0.05	83638348	55944266	27995072	0.25087990557225465	7017	2796	767	0.08478885695334955
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.05	min	optimal	77600071	52407676	22928766	0.21412947513947672	5139659	4054912	939408	0.11379642049466497
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.05	min	0.05	77600071	52407676	22928766	0.21412947513947672	4424	1838	506	0.08790826963168867
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.1	min	optimal	70255928	28374591	14190933	0.16806019157886445	4632659	2531938	656987	0.10095672604842638
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.1	min	0.05	70255928	28374591	14190933	0.16806019157886445	3904	842	248	0.055135615829257446
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.25	min	optimal	21041761	13078674	6417511	0.23165464410904785	2577429	1753689	358545	0.090255106702885
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.25	min	0.05	21041761	13078674	6417511	0.23165464410904785	17	20	14	0.6086956521739131
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.0	min	optimal	133547518	83233881	30233152	0.1620661275900384	5490995	4052716	1023118	0.12007591490404483
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.0	min	0.05	133547518	83233881	30233152	0.1620661275900384	19950	8214	2406	0.09340787328208712
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.01	min	optimal	131753648	82061498	28239345	0.15217148382401433	6009441	4734165	1205302	0.12636439350224107
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.01	min	0.05	131753648	82061498	28239345	0.15217148382401433	18580	7692	2199	0.09134715241141528
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.05	min	optimal	120046599	75125524	22659800	0.13135177595399952	6440003	7104589	1573675	0.1314581831951554
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.05	min	0.05	120046599	75125524	22659800	0.13135177595399952	14615	6090	1785	0.0943446088794926
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.1	min	optimal	22701242	14027348	6650088	0.22109106364406048	2740556	1833024	385921	0.09215673960081278
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.1	min	0.05	22701242	14027348	6650088	0.22109106364406048	171	114	64	0.2895927601809955
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.25	min	optimal	21642002	13267938	6422979	0.22547083909722768	2694305	1799801	374012	0.0907775405124252
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	50000000	0.25	min	0.05	21642002	13267938	6422979	0.22547083909722768	56	56	47	0.7230769230769231
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.0	max	optimal	97680434	63590135	29841470	0.22705375162010355	4284055	3382452	704838	0.1012455490199261
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.0	max	0.05	97680434	63590135	29841470	0.22705375162010355	4237	1594	513	0.09646483640466341
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.01	max	optimal	96171129	62694711	28195528	0.21577608232847872	4720747	3821589	824162	0.10678199273558746
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.01	max	0.05	96171129	62694711	28195528	0.21577608232847872	3973	1477	470	0.09437751004016064
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.05	max	optimal	90130583	59184305	23154455	0.18353182887379596	4978952	4262611	962045	0.11619577371532981
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.05	max	0.05	90130583	59184305	23154455	0.18353182887379596	2991	1141	362	0.0960212201591512
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.1	max	optimal	59060260	20979231	10278730	0.14734257271075354	4099782	2100046	535590	0.09455640811703181
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.1	max	0.05	59060260	20979231	10278730	0.14734257271075354	1719	263	105	0.05594033031433138
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.25	max	optimal	21282190	13152106	6418404	0.22909868441811526	2373848	1760094	327482	0.08603321721494513
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	10000000	0.25	max	0.05	21282190	13152106	6418404	0.22909868441811526	12	11	9	0.6428571428571429
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.0	max	optimal	142967847	88418806	30271446	0.1505179367167397	5711064	4315256	1111874	0.1247272124369815
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.0	max	0.05	142967847	88418806	30271446	0.1505179367167397	11645	4593	1410	0.09509036957108173
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.01	max	optimal	140853348	87073463	28014565	0.14013431173195864	5890205	5963825	1337512	0.12718201975216512
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.01	max	0.05	140853348	87073463	28014565	0.14013431173195864	11157	4385	1348	0.09496970550937016
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.05	max	optimal	128783340	75643790	21830798	0.1195577028349069	5855112	5944183	1359240	0.13019471640714536
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.05	max	0.05	128783340	75643790	21830798	0.1195577028349069	9325	3555	1107	0.09402870975961947
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.1	max	optimal	22735975	14038965	6650238	0.22075697213535922	2463949	1811403	346715	0.08825325424568368
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.1	max	0.05	22735975	14038965	6650238	0.22075697213535922	100	64	45	0.37815126050420167
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.25	max	optimal	21676735	13279555	6423129	0.2251110208224038	2401456	1772330	332810	0.08664724799113559
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	100000000	0.25	max	0.05	21676735	13279555	6423129	0.2251110208224038	46	43	40	0.8163265306122449
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.0	max	optimal	117661227	74526259	30098945	0.18569446559457894	4913056	3778098	882168	0.11296831624490043
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.0	max	0.05	117661227	74526259	30098945	0.18569446559457894	7203	2772	912	0.10062893081761007
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.01	max	optimal	115890459	73524201	28242236	0.1752299512477395	5373810	4220611	1011942	0.11790789118155721
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.01	max	0.05	115890459	73524201	28242236	0.1752299512477395	6809	2624	856	0.09980179549959194
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.05	max	optimal	105221320	67080353	22654475	0.15138589497679736	5373058	5140206	1162682	0.12434327617254198
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.05	max	0.05	105221320	67080353	22654475	0.15138589497679736	5414	2109	693	0.10146412884333822
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.1	max	optimal	26462552	16716361	7469225	0.20916522709467525	2574349	1927524	377497	0.09152826997344568
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.1	max	0.05	26462552	16716361	7469225	0.20916522709467525	344	183	109	0.2607655502392344
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.25	max	optimal	21518677	13228128	6421449	0.22670320542484973	2390017	1767135	330616	0.0864008596809229
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	25000000	0.25	max	0.05	21518677	13228128	6421449	0.22670320542484973	46	42	40	0.8333333333333334
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.0	max	optimal	85107957	56793811	29584052	0.26339613244984433	3727299	2989724	567118	0.09221573341376818
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.0	max	0.05	85107957	56793811	29584052	0.26339613244984433	2714	1021	354	0.10470275066548358
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.01	max	optimal	83638348	55944266	27995072	0.25087990557225465	4143329	3304991	665159	0.09806032910025282
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.01	max	0.05	83638348	55944266	27995072	0.25087990557225465	2470	931	316	0.10243111831442464
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.05	max	optimal	77600071	52407676	22928766	0.21412947513947672	4777164	3723296	835955	0.10906836123141678
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.05	max	0.05	77600071	52407676	22928766	0.21412947513947672	1673	677	230	0.10849056603773585
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.1	max	optimal	70255928	28374591	14190933	0.16806019157886445	4563333	2459251	625830	0.09783555847231268
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.1	max	0.05	70255928	28374591	14190933	0.16806019157886445	1488	327	115	0.06764705882352941
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.25	max	optimal	21041761	13078674	6417511	0.23165464410904785	2357638	1753550	324745	0.08576518912340685
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	bio	GM	5000	5000000	0.25	max	0.05	21041761	13078674	6417511	0.23165464410904785	11	9	8	0.6666666666666666
