file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	97680434	29254317	14867472	0.13266559278199302	4281294	3020048	420007	0.061035685662738405
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	97680434	29254317	14867472	0.13266559278199302	10755	415	123	0.011134244591291753
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	96171129	28469889	13683127	0.12331819644985863	5236892	3107514	520650	0.06654732074977798
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	96171129	28469889	13683127	0.12331819644985863	9628	351	101	0.01022474185057704
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	90130583	5815695	3964633	0.04310243636108052	5730259	1004305	264659	0.04090616477367133
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	90130583	5815695	3964633	0.04310243636108052	6698	73	32	0.0047484790028194095
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	59060260	4067965	2839127	0.04709188052539781	4134856	796714	194630	0.04108770640962309
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	59060260	4067965	2839127	0.04709188052539781	3742	17	17	0.004543025120256547
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	21282190	4067775	2418964	0.10548880966862284	2634243	796635	136919	0.04156669831045256
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	21282190	4067775	2418964	0.10548880966862284	19	17	12	0.5
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	142967847	39088812	15037248	0.09003293635133224	5703239	3270951	660617	0.07946246457449763
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	142967847	39088812	15037248	0.09003293635133224	22574	810	290	0.01255737420975145
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	140853348	38276423	13684878	0.08271562664675301	6006675	3417355	733190	0.08436353678125474
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	140853348	38276423	13684878	0.08271562664675301	21049	722	259	0.012039791744142804
