file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	97680434	74110469	31031351	0.220456449023083	4281294	3479765	615970	0.0862088631786112
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	97680434	74110469	31031351	0.220456449023083	10755	2026	660	0.054450952891675605
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	96171129	72773458	29019509	0.2073931950925909	5236892	3770847	775565	0.09421144402438529
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	96171129	72773458	29019509	0.2073931950925909	9628	1747	551	0.05090539541759054
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	90130583	67107583	23645884	0.17700037491686832	5730259	3746284	857908	0.09954105261448014
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	90130583	67107583	23645884	0.17700037491686832	6698	1268	393	0.05189488973986531
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	59060260	13838166	7673883	0.11765330421709509	4134856	1521559	343901	0.064734135288867
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	59060260	13838166	7673883	0.11765330421709509	3742	16	16	0.00427578834847675
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	21282190	13837838	5971226	0.20485322175504847	2634243	1521438	261861	0.06725041219162674
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	21282190	13837838	5971226	0.20485322175504847	19	15	13	0.6190476190476191
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	142967847	108382320	31582394	0.14370803129538015	5703239	4313639	929752	0.10231529748789661
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	142967847	108382320	31582394	0.14370803129538015	22574	4791	1527	0.059099001470702066
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	140853348	105068837	27853617	0.1277287105402554	6006675	5581989	1100837	0.10496330650763022
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	140853348	105068837	27853617	0.1277287105402554	21049	3948	1320	0.05575030620433332
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	128783340	37463829	13504230	0.08841148460551751	6475384	2395152	639946	0.07775214170551564
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	128783340	37463829	13504230	0.08841148460551751	16876	1284	526	0.029828739934217988
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	22735975	14048265	6023426	0.1958149091893342	2741649	1531472	269911	0.06742364252687219
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	22735975	14048265	6023426	0.1958149091893342	170	51	47	0.27011494252873564
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	21676735	14047754	5978073	0.20096784096611842	2695398	1531336	267586	0.06758676361681856
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	21676735	14047754	5978073	0.20096784096611842	55	48	44	0.7457627118644068
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	117661227	88848719	31359988	0.17904650596604768	5137938	3680227	767215	0.09529496519044336
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	117661227	88848719	31359988	0.17904650596604768	15982	3299	1171	0.0646604086140254
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.01	min	optimal	115890459	86168944	28243536	0.16249112631357182	5698118	4711849	950965	0.10053544760853206
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.01	min	0.05	115890459	86168944	28243536	0.16249112631357182	14641	2704	986	0.060272632801515985
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.05	min	optimal	105221320	60269135	19350165	0.13240814699354983	6046662	3333484	793806	0.09244986804622225
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.05	min	0.05	105221320	60269135	19350165	0.13240814699354983	10948	1698	633	0.05269291600765837
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.1	min	optimal	26462552	13962255	6180864	0.18049510244775258	2812138	1527620	273801	0.06733986611270114
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.1	min	0.05	26462552	13962255	6180864	0.18049510244775258	606	48	46	0.0756578947368421
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.25	min	optimal	21518677	13961911	5975308	0.202516566526398	2655764	1527490	264485	0.06749185777472466
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.25	min	0.05	21518677	13961911	5975308	0.202516566526398	55	47	44	0.7586206896551724
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.0	min	optimal	85107957	64664105	30691396	0.257736180279677	3766141	3303638	513646	0.0783458785842203
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.0	min	0.05	85107957	64664105	30691396	0.257736180279677	8153	1535	528	0.05764192139737991
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.01	min	optimal	83638348	63720403	28990461	0.24491746058002528	4434061	3510023	636239	0.08706246506323
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.01	min	0.05	83638348	63720403	28990461	0.24491746058002528	7017	1278	432	0.05494086226631057
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.05	min	optimal	77600071	58391219	23437805	0.20823704392627204	5139659	3464233	749576	0.09543491756634187
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.05	min	0.05	77600071	58391219	23437805	0.20823704392627204	4424	833	292	0.05881168177240685
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.1	min	optimal	70255928	16506243	9671341	0.1254538445104301	4632659	1601087	377457	0.06445327407851628
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.1	min	0.05	70255928	16506243	9671341	0.1254538445104301	3904	73	52	0.013248407643312102
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.25	min	optimal	21041761	13709134	5969983	0.20742855542590172	2577429	1516317	258326	0.06735272799328365
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	5000000	0.25	min	0.05	21041761	13709134	5969983	0.20742855542590172	17	14	13	0.7222222222222222
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.0	min	optimal	133547518	100681020	31530448	0.15555374991446638	5490995	3949747	855386	0.09963314276076612
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.0	min	0.05	133547518	100681020	31530448	0.15555374991446638	19950	4161	1371	0.06029023746701847
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.01	min	optimal	131753648	97369844	27951604	0.1389438866329077	6009441	5348507	1061868	0.10313323128802418
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.01	min	0.05	131753648	97369844	27951604	0.1389438866329077	18580	3388	1181	0.05681435512579978
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.05	min	optimal	120046599	45726724	15366611	0.10216705621488488	6440003	2950093	733906	0.08478395229309893
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.05	min	0.05	120046599	45726724	15366611	0.10216705621488488	14615	1563	628	0.040385852090032155
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.1	min	optimal	22701242	14027838	6023315	0.19616234931779097	2740556	1530725	269691	0.06739596010585792
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.1	min	0.05	22701242	14027838	6023315	0.19616234931779097	171	51	47	0.26857142857142857
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.25	min	optimal	21642002	14027328	5977962	0.20133669826193257	2694305	1530589	267366	0.06755883976057782
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	50000000	0.25	min	0.05	21642002	14027328	5977962	0.20133669826193257	56	48	44	0.7333333333333333
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	max	optimal	97680434	74110469	31031351	0.220456449023083	4284055	3494100	629794	0.08810327290409647
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	max	0.05	97680434	74110469	31031351	0.220456449023083	4237	804	290	0.06103978109871606
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	max	optimal	96171129	72773458	29019509	0.2073931950925909	4720747	3749550	717554	0.0925548544560293
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	max	0.05	96171129	72773458	29019509	0.2073931950925909	3973	727	260	0.05855855855855856
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	max	optimal	90130583	67107583	23645884	0.17700037491686832	4978952	3746784	775849	0.09759245634560591
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	max	0.05	90130583	67107583	23645884	0.17700037491686832	2991	561	200	0.059665871121718374
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	max	optimal	59060260	13838166	7673883	0.11765330421709509	4099782	1647821	345769	0.0640095567542431
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	max	0.05	59060260	13838166	7673883	0.11765330421709509	1719	13	12	0.0069767441860465115
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	max	optimal	21282190	13837838	5971226	0.20485322175504847	2373848	1647709	246594	0.06532355416463685
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	max	0.05	21282190	13837838	5971226	0.20485322175504847	12	12	9	0.6
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	max	optimal	142967847	108382320	31582394	0.14370803129538015	5711064	4737156	985407	0.10413467961376813
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	max	0.05	142967847	108382320	31582394	0.14370803129538015	11645	2339	740	0.0558743581999396
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	max	optimal	140853348	105068837	27853617	0.1277287105402554	5890205	4895105	1050210	0.10787870694702674
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	max	0.05	140853348	105068837	27853617	0.1277287105402554	11157	2006	666	0.05329279026966472
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	max	optimal	128783340	37463829	13504230	0.08841148460551751	5855112	2361257	615611	0.08099336934553106
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	max	0.05	128783340	37463829	13504230	0.08841148460551751	9325	552	214	0.02214633136707027
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	max	optimal	22735975	14048265	6023426	0.1958149091893342	2463949	1664616	254550	0.06570702488245399
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	max	0.05	22735975	14048265	6023426	0.1958149091893342	100	46	42	0.40384615384615385
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	max	optimal	21676735	14047754	5978073	0.20096784096611842	2401456	1664457	251128	0.06583018440095575
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	max	0.05	21676735	14047754	5978073	0.20096784096611842	46	44	41	0.8367346938775511
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.0	max	optimal	117661227	88848719	31359988	0.17904650596604768	4913056	4024356	780698	0.0957123174847126
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.0	max	0.05	117661227	88848719	31359988	0.17904650596604768	7203	1401	500	0.061697926949654494
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.01	max	optimal	115890459	86168944	28243536	0.16249112631357182	5373810	4082253	868219	0.10109859936906167
