file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	97680434	75867932	31445069	0.22128317684282864	4281294	3535580	618647	0.0859443582426617
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	97680434	75867932	31445069	0.22128317684282864	10755	2013	642	0.05294408708560119
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	96171129	74398975	29326128	0.20762746016155761	5236892	3874062	782347	0.0939349161270306
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	96171129	74398975	29326128	0.20762746016155761	9628	1713	524	0.04844226680225571
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	90130583	68681818	23955938	0.17764026630299506	5730259	3710952	853077	0.0993320551356092
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	90130583	68681818	23955938	0.17764026630299506	6698	1239	375	0.0495900555408622
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	59060260	14156625	7787863	0.1190276541196046	4134856	1553060	345264	0.06462408556649395
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	59060260	14156625	7787863	0.1190276541196046	3742	16	16	0.00427578834847675
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	21282190	14156278	6041397	0.20551016800279184	2634243	1552890	262528	0.06689284654124428
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	21282190	14156278	6041397	0.20551016800279184	19	15	13	0.6190476190476191
