file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	97680434	71010025	31053441	0.22561837978791432	4281294	3486076	666724	0.09389624549653651
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	97680434	71010025	31053441	0.22561837978791432	10755	3304	956	0.07296039075020988
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	96171129	70117455	29345010	0.21428541071960047	5236892	3682796	828713	0.10242436789138515
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	96171129	70117455	29345010	0.21428541071960047	9628	2967	845	0.07191489361702127
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	90130583	64017105	23582982	0.18062294721515323	5730259	3788442	935974	0.10905321816713966
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	90130583	64017105	23582982	0.18062294721515323	6698	2112	614	0.0749145924841386
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	59060260	16879198	8766901	0.13051313499946116	4134856	1745756	421672	0.07724430017549194
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	59060260	16879198	8766901	0.13051313499946116	3742	154	77	0.020162346163917256
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	21282190	13840374	6226222	0.2154674802782996	2634243	1623952	308395	0.07807863689300724
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	21282190	13840374	6226222	0.2154674802782996	19	13	13	0.6842105263157895
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	142967847	100769427	31540239	0.14863656789549393	5703239	3833476	970347	0.11327402698553225
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	142967847	100769427	31540239	0.14863656789549393	22574	7217	2207	0.08001015081206496
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	140853348	98140828	28281336	0.13421743069857536	6006675	4962557	1134566	0.11536395847098417
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	140853348	98140828	28281336	0.13421743069857536	21049	6251	1958	0.07726304159103464
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	128783340	59892971	18048301	0.10577572228615922	6475384	3332740	907262	0.10192967827161009
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	128783340	59892971	18048301	0.10577572228615922	16876	3356	1118	0.058491158313278224
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	22735975	14002680	6273650	0.20592972165932683	2741649	1631171	317057	0.07817443968003061
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	22735975	14002680	6273650	0.20592972165932683	170	51	47	0.27011494252873564
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	21676735	14002195	6231322	0.2116070683907501	2695398	1631001	314335	0.07834745407849925
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	21676735	14002195	6231322	0.2116070683907501	55	45	44	0.7857142857142857
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	117661227	83993492	31346081	0.18405455746760185	5137938	3649595	832684	0.10467627983887563
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	117661227	83993492	31346081	0.18405455746760185	15982	5067	1611	0.0828788970058648
GM_set1_bio1_tec1_4DNFIUOVQH68_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	25000000	0.01	min	optimal	115890459	82483228	29049810	0.1715635769431384	5698118	4406507	1003761	0.11029293482464962
