file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	44380536	64237050	17691682	0.19457251698041958	2295158	3383772	390912	0.07392410540206179
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	44380536	64237050	17691682	0.19457251698041958	469	4628	184	0.037451658864237736
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	43040067	63262076	16103621	0.1785353090375472	3508086	3668305	535128	0.08057623979053381
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	43040067	63262076	16103621	0.1785353090375472	363	4088	138	0.031996290285184324
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	22829957	59686334	9162430	0.12490726289104265	2024573	4435340	414922	0.06863897729541699
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	22829957	59686334	9162430	0.12490726289104265	155	2901	60	0.020026702269692925
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	7448575	26027340	3629681	0.12161269659683027	995535	2375938	176385	0.05520505225521175
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	7448575	26027340	3629681	0.12161269659683027	14	1002	14	0.013972055888223553
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	7448393	13397930	3198322	0.18122857087326774	995451	1804136	145910	0.054984084347869014
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	7448393	13397930	3198322	0.18122857087326774	14	25	14	0.56
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	60278401	89199703	17836724	0.13549481173776817	3682453	4136914	648768	0.09047612340335863
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	60278401	89199703	17836724	0.13549481173776817	1010	10116	350	0.032479584261321456
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	58492821	87871280	15767594	0.12073518934162611	5583639	4977081	976460	0.10188162675052638
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	58492821	87871280	15767594	0.12073518934162611	800	9471	293	0.029364602124674285
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	10059099	76274467	5372247	0.06635572476283397	1071218	7372827	340624	0.04203459255047961
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	10059099	76274467	5372247	0.06635572476283397	93	7283	64	0.0087527352297593
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	7494359	14313692	3221897	0.17334931153588848	999113	1845744	148483	0.05506765752822124
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	7494359	14313692	3221897	0.17334931153588848	40	130	40	0.3076923076923077
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	7494055	13532022	3200289	0.17953141819032067	998952	1811271	146995	0.05519429804733204
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	7494055	13532022	3200289	0.17953141819032067	40	60	40	0.6666666666666666
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	51304542	75203446	17778331	0.16350949217102745	2712717	3728007	477994	0.08016361633010383
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	51304542	75203446	17778331	0.16350949217102745	715	7157	288	0.0379746835443038
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	bio	GM	5000	25000000	0.01	min	optimal	49518966	74135771	15832867	0.1468428158406082	4967820	4153497	757087	0.09051484715269666
