file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	44380536	29254317	9521892	0.1485174269208998	2295158	3020048	336957	0.0676858469714954
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	44380536	29254317	9521892	0.1485174269208998	469	415	75	0.09270704573547589
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	43040067	28469889	8243995	0.1303069592193502	3508086	3107514	438931	0.07106273624181578
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	43040067	28469889	8243995	0.1303069592193502	363	351	64	0.09846153846153846
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	22829957	5815695	2371718	0.09026885733974974	2024573	1004305	140155	0.048517978359295784
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	22829957	5815695	2371718	0.09026885733974974	155	73	28	0.14
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	7448575	4067965	1447683	0.14377828585707395	995535	796714	76450	0.044556501082003194
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	7448575	4067965	1447683	0.14377828585707395	14	17	13	0.7222222222222222
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	7448393	4067775	1447620	0.14377644125051597	995451	796635	76418	0.04454125157081673
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	7448393	4067775	1447620	0.14377644125051597	14	17	13	0.7222222222222222
