file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	44380536	74110469	17964871	0.17870846400996582	2295158	3479765	340254	0.06260804475856763
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	44380536	74110469	17964871	0.17870846400996582	469	2026	130	0.05496828752642706
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	43040067	72773458	16164571	0.16221515982997675	3508086	3770847	468847	0.06884597345760392
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	43040067	72773458	16164571	0.16221515982997675	363	1747	106	0.05289421157684631
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	22829957	67107583	9211910	0.11411381986117668	2024573	3746284	325130	0.05970369061835087
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	22829957	67107583	9211910	0.11411381986117668	155	1268	48	0.03490909090909091
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	7448575	13838166	2939799	0.16023373268417157	995535	1521559	100017	0.041379318904610815
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	7448575	13838166	2939799	0.16023373268417157	14	16	12	0.6666666666666666
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	7448393	13837838	2939729	0.16023376009225082	995451	1521438	99980	0.0413668863825655
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	7448393	13837838	2939729	0.16023376009225082	14	15	12	0.7058823529411765
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	60278401	108382320	18152399	0.12060727778228768	3682453	4313639	569141	0.07663185067465775
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	60278401	108382320	18152399	0.12060727778228768	1010	4791	255	0.04597908402452218
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	58492821	105068837	15098114	0.10169576714402022	5583639	5581989	869010	0.08439761482848057
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	58492821	105068837	15098114	0.10169576714402022	800	3948	212	0.04673721340388007
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	10059099	37463829	4120839	0.0949456372940943	1071218	2395152	151468	0.04569305517930847
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	10059099	37463829	4120839	0.0949456372940943	93	1284	56	0.04239212717638153
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	7494359	14048265	2942095	0.15817265197134986	999113	1531472	101057	0.04159532221896599
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	7494359	14048265	2942095	0.15817265197134986	40	51	39	0.75
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	7494055	14047754	2941966	0.1581715501577083	998952	1531336	101002	0.04157682545406346
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	7494055	14047754	2941966	0.1581715501577083	40	48	39	0.7959183673469388
