file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	44380536	71010025	18081093	0.18581021324666988	2295158	3486076	369252	0.06822860829914068
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	44380536	71010025	18081093	0.18581021324666988	469	3304	146	0.04025365315687896
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	43040067	70117455	16497221	0.17067214595162497	3508086	3682796	496473	0.07416233456904112
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	43040067	70117455	16497221	0.17067214595162497	363	2967	115	0.03576982892690513
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	22829957	64017105	9247592	0.11917081392437345	2024573	3788442	358206	0.06566792714465346
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	22829957	64017105	9247592	0.11917081392437345	155	2112	51	0.023014440433212997
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	7448575	16879198	3198623	0.15138436709474826	995535	1745756	125896	0.04813651475207378
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	7448575	16879198	3198623	0.15138436709474826	14	154	13	0.08387096774193549
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	7448393	13840374	3087217	0.16961286264081904	995451	1623952	118497	0.047381628897687475
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	7448393	13840374	3087217	0.16961286264081904	14	13	12	0.8
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	60278401	100769427	18247617	0.12778424396025578	3682453	3833476	576544	0.08308286685347477
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	60278401	100769427	18247617	0.12778424396025578	1010	7217	287	0.03614609571788413
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	58492821	98140828	15527851	0.11004403235081807	5583639	4962557	878779	0.09090111660643169
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	58492821	98140828	15527851	0.11004403235081807	800	6251	243	0.03569330199764982
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	10059099	59892971	4770167	0.073182383153189	1071218	3332740	210490	0.05019473142515932
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	10059099	59892971	4770167	0.073182383153189	93	3356	58	0.017104099085815394
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	7494359	14002680	3089231	0.16782177432532977	999113	1631171	119548	0.047614723332122535
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	7494359	14002680	3089231	0.16782177432532977	40	51	38	0.7169811320754716
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	7494055	14002195	3089084	0.16781964154612394	998952	1631001	119486	0.047595128715095636
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	7494055	14002195	3089084	0.16781964154612394	40	45	38	0.8085106382978723
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	51304542	83993492	18180999	0.155237869537937	2712717	3649595	438519	0.07402672578194411
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	51304542	83993492	18180999	0.155237869537937	715	5067	238	0.04292929292929293
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	25000000	0.01	min	optimal	49518966	82483228	15978080	0.13771344119033738	4967820	4406507	722245	0.0834764395436844
GM_set1_bio2_tec1_4DNFIIT7LQ6M_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	25000000	0.01	min	0.05	49518966	82483228	15978080	0.13771344119033738	517	4507	185	0.038231039470965074
