file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	64237050	74110469	24500918	0.2152099209356281	3383772	3479765	617786	0.09891300501733098
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	64237050	74110469	24500918	0.2152099209356281	4628	2026	528	0.08619000979431929
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	63262076	72773458	22863403	0.2020232613628173	3668305	3770847	710742	0.10563298015430095
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	63262076	72773458	22863403	0.2020232613628173	4088	1747	441	0.0817575083426029
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	59686334	67107583	19019087	0.17647058223149134	4435340	3746284	811936	0.11017237093347779
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	59686334	67107583	19019087	0.17647058223149134	2901	1268	340	0.08879603029511622
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	26027340	13838166	5727077	0.1677604145170242	2375938	1521559	281569	0.07786908367644489
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	26027340	13838166	5727077	0.1677604145170242	1002	16	15	0.014955134596211365
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	13397930	13837838	4831873	0.21567111433078937	1804136	1521438	241333	0.07824712789953833
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	13397930	13837838	4831873	0.21567111433078937	25	15	15	0.6
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	89199703	108382320	24814917	0.14363218539992215	4136914	4313639	847916	0.11152919704044793
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	89199703	108382320	24814917	0.14363218539992215	10116	4791	1244	0.09104881797555442
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	87871280	105068837	21694842	0.12668870425767953	4977081	5581989	1066520	0.11235337185477032
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	87871280	105068837	21694842	0.12668870425767953	9471	3948	1075	0.08708684381075826
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	76274467	37463829	11198485	0.10921109460597699	7372827	2395152	670140	0.07365925029009636
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	76274467	37463829	11198485	0.10921109460597699	7283	1284	427	0.05245700245700246
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	14313692	14048265	4883908	0.208020180893225	1845744	1531472	245725	0.07846901044901614
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	14313692	14048265	4883908	0.208020180893225	130	51	51	0.3923076923076923
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	13532022	14047754	4836650	0.2126642573232897	1811271	1531336	243635	0.07861800622916244
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	13532022	14047754	4836650	0.2126642573232897	60	48	48	0.8
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	75203446	88848719	24687089	0.17713970894688136	3728007	3680227	716011	0.10699150342120996
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	75203446	88848719	24687089	0.17713970894688136	7157	3299	951	0.10005260389268805
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.01	min	optimal	74135771	86168944	22108818	0.15998172507248895	4153497	4711849	879339	0.11010997110320589
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.01	min	0.05	74135771	86168944	22108818	0.15998172507248895	6542	2704	809	0.09588716368377385
