file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	64237050	75867932	24780508	0.2148764016907634	3383772	3535580	626165	0.09949887076293776
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	64237050	75867932	24780508	0.2148764016907634	4628	2013	517	0.08442194644023514
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	63262076	74398975	23056645	0.20118462984747723	3668305	3874062	722913	0.10600746042131819
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	63262076	74398975	23056645	0.20118462984747723	4088	1713	427	0.07945664309639003
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	59686334	68681818	19245423	0.17636493493486585	4435340	3710952	806549	0.10988790751937773
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	59686334	68681818	19245423	0.17636493493486585	2901	1239	320	0.08376963350785341
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	26027340	14156625	5799958	0.16868185258338272	2375938	1553060	286189	0.07856272453483013
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	26027340	14156625	5799958	0.16868185258338272	1002	16	15	0.014955134596211365
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	13397930	14156278	4885271	0.21550507639595098	1804136	1552890	245400	0.07886551918514628
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	13397930	14156278	4885271	0.21550507639595098	25	15	15	0.6
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	89199703	111641875	25105345	0.14285810371273863	4136914	4117265	838281	0.11303836703255628
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	89199703	111641875	25105345	0.14285810371273863	10116	4948	1233	0.08914756705950401
GM_set1_bio3_tec1_4DNFI24MDDBZ_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	87871280	108010247	21780661	0.12510369132799143	4977081	6067727	1139853	0.11507906901141904
