file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	63590135	74110469	24231730	0.2135539830949587	3419030	3479765	628767	0.10028137035432697
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	63590135	74110469	24231730	0.2135539830949587	4322	2026	514	0.08810421666095303
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	62694711	72773458	22657754	0.20084806885959952	3610080	3770847	711712	0.10671600780601614
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	62694711	72773458	22657754	0.20084806885959952	3843	1747	430	0.08333333333333333
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	59184305	67107583	18862859	0.17558437580218658	4556923	3746284	824216	0.11020417058932147
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	59184305	67107583	18862859	0.17558437580218658	2719	1268	308	0.08371840173960315
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	20979231	13838166	5354129	0.18172217012722416	2127757	1521559	266803	0.07887715435240013
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	20979231	13838166	5354129	0.18172217012722416	582	16	15	0.025728987993138937
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	13152106	13837838	4776055	0.21500310008751733	1768884	1521438	241378	0.07916773807587152
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	13152106	13837838	4776055	0.21500310008751733	20	15	13	0.5909090909090909
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	88418806	108382320	24541518	0.1424682099590056	4098414	4313639	850064	0.11241275278236983
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	88418806	108382320	24541518	0.1424682099590056	9341	4791	1168	0.09009564949089788
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	87073463	105068837	21432160	0.12554708232328787	5093462	5581989	1066284	0.11096528970721395
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	87073463	105068837	21432160	0.12554708232328787	8767	3948	992	0.08461997782137679
