file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	63590135	71010025	24313985	0.22046267358533378	3419030	3486076	697483	0.11235911072563524
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	63590135	71010025	24313985	0.22046267358533378	4322	3304	781	0.11409788166544924
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	62694711	70117455	23055491	0.2100600350730377	3610080	3682796	776782	0.11920975971187647
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	62694711	70117455	23055491	0.2100600350730377	3843	2967	687	0.1121999020088192
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	59184305	64017105	18930015	0.1815456194865332	4556923	3788442	912290	0.12273386182703659
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	59184305	64017105	18930015	0.1815456194865332	2719	2112	514	0.11906416492934908
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	20979231	16879198	6243216	0.19747505734027476	2127757	1745756	349996	0.09933143504061424
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	20979231	16879198	6243216	0.19747505734027476	582	154	60	0.08875739644970414
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	13152106	13840374	4992547	0.2269346456646027	1768884	1623952	294436	0.0950284017557449
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	13152106	13840374	4992547	0.2269346456646027	20	13	13	0.65
