file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	63590135	38095619	15926214	0.1857077824811094	3419030	2825284	458525	0.07925021116393978
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	63590135	38095619	15926214	0.1857077824811094	4322	404	145	0.03165247762497271
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	62694711	36840335	14495389	0.1704544622046159	3610080	3991104	605727	0.08658862458878669
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	62694711	36840335	14495389	0.1704544622046159	3843	322	121	0.029920870425321464
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	59184305	14978008	6913614	0.10280665801430597	4556923	1727799	401271	0.06820333848280541
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	59184305	14978008	6913614	0.10280665801430597	2719	139	59	0.021078956770275097
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	20979231	6418885	3208633	0.13264578660073056	2127757	1025564	181497	0.06107259380097879
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	20979231	6418885	3208633	0.13264578660073056	582	16	16	0.027491408934707903
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	13152106	6418620	2931408	0.17617356672911713	1768884	1025492	158319	0.060059019968081113
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	13152106	6418620	2931408	0.17617356672911713	20	16	13	0.5652173913043478
GM_set1_bio3_tec2_4DNFIATMYDMG_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	88418806	52679047	16063961	0.1284768532999037	4098414	4293110	769583	0.10096942497980502
