file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	29254317	74110469	12544064	0.13811896364356144	3020048	3479765	399939	0.06556512478782349
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	29254317	74110469	12544064	0.13811896364356144	415	2026	82	0.0347604917337855
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	28469889	72773458	11337964	0.12610995717575665	3107514	3770847	444981	0.06916752935470935
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	28469889	72773458	11337964	0.12610995717575665	351	1747	70	0.03451676528599606
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	5815695	67107583	3469248	0.0499502764634392	1004305	3746284	220388	0.04864861404604343
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	5815695	67107583	3469248	0.0499502764634392	73	1268	26	0.01977186311787072
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	4067965	13838166	1956155	0.12264313124985267	796714	1521559	87972	0.039444003298209525
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	4067965	13838166	1956155	0.12264313124985267	17	16	14	0.7368421052631579
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	4067775	13837838	1956075	0.12264148340848494	796635	1521438	87934	0.039429829261763506
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	4067775	13837838	1956075	0.12264148340848494	17	15	14	0.7777777777777778
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	39088812	108382320	12669685	0.09398775222346092	3270951	4313639	547203	0.07775655935931902
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	39088812	108382320	12669685	0.09398775222346092	810	4791	181	0.03339483394833948
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	38276423	105068837	10803065	0.08150661002709364	3417355	5581989	642374	0.07686685485289525
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	38276423	105068837	10803065	0.08150661002709364	722	3948	157	0.03478838909816087
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	4089744	37463829	2265816	0.05767231761283802	798367	2395152	126694	0.041311127958067385
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	4089744	37463829	2265816	0.05767231761283802	45	1284	45	0.035046728971962614
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	4089708	14048265	1958254	0.12103139739324274	798358	1531472	88847	0.03964644086992181
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	4089708	14048265	1958254	0.12103139739324274	45	51	42	0.7777777777777778
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	4089417	14047754	1958120	0.12102811221745947	798237	1531336	88791	0.03962500591311426
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	4089417	14047754	1958120	0.12102811221745947	44	48	41	0.803921568627451
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	33621775	88848719	12619682	0.11488018859614801	3158426	3680227	464706	0.07290710136121308
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	33621775	88848719	12619682	0.11488018859614801	606	3299	153	0.04077825159914712
