file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	29254317	75867932	12662928	0.13695674879550543	3020048	3535580	400318	0.06503620451285151
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	29254317	75867932	12662928	0.13695674879550543	415	2013	87	0.037163605296881674
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	28469889	74398975	11418408	0.12485895094935338	3107514	3874062	448894	0.06871511578246117
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	28469889	74398975	11418408	0.12485895094935338	351	1713	74	0.0371859296482412
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	5815695	68681818	3492549	0.04918739202515475	1004305	3710952	212949	0.047297741513907976
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	5815695	68681818	3492549	0.04918739202515475	73	1239	26	0.02021772939346812
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	4067965	14156625	1969391	0.12115453031365535	796714	1553060	87504	0.03867973318834622
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	4067965	14156625	1969391	0.12115453031365535	17	16	14	0.7368421052631579
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	4067775	14156278	1969321	0.12115370465658862	796635	1552890	87470	0.03866837897398604
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	4067775	14156278	1969321	0.12115370465658862	17	15	14	0.7777777777777778
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	39088812	111641875	12792884	0.09274385789659126	3270951	4117265	536823	0.07835238760935186
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	39088812	111641875	12792884	0.09274385789659126	810	4948	190	0.03412356321839081
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	38276423	108010247	10833360	0.07997855497218931	3417355	6067727	665005	0.07539673406479332
