file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	29254317	21438470	5830538	0.12996535238347057	3020048	2327890	427292	0.08683656576799062
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	29254317	21438470	5830538	0.12996535238347057	415	94	40	0.08528784648187633
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	28469889	21049251	5170630	0.11659083924127327	3107514	2272680	425236	0.08582030362315886
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	28469889	21049251	5170630	0.11659083924127327	351	85	40	0.10101010101010101
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	5815695	2826111	918816	0.11897153822548003	1004305	598655	97131	0.06450334002067964
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	5815695	2826111	918816	0.11897153822548003	73	13	13	0.1780821917808219
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	4067965	2826096	851548	0.1409261345403808	796714	598660	90079	0.0690104535756285
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	4067965	2826096	851548	0.1409261345403808	17	13	13	0.7647058823529411
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	4067775	2825987	851515	0.14092687703763185	796635	598612	90058	0.06899996858692496
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec1_4DNFI7ICGXY9_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	4067775	2825987	851515	0.14092687703763185	17	13	13	0.7647058823529411
