file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	29254317	38095619	8850520	0.15129245050924953	3020048	2825284	445771	0.08255689675512509
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	29254317	38095619	8850520	0.15129245050924953	415	404	77	0.10377358490566038
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	28469889	36840335	7655686	0.1327854886288396	3107514	3991104	564136	0.08633216833407759
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	28469889	36840335	7655686	0.1327854886288396	351	322	73	0.12166666666666667
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	5815695	14978008	2159714	0.11590186084149776	1004305	1727799	151504	0.05870882740447958
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	5815695	14978008	2159714	0.11590186084149776	73	139	24	0.1276595744680851
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	4067965	6418885	1411537	0.15553590272864418	796714	1025564	104696	0.060955459477334994
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	4067965	6418885	1411537	0.15553590272864418	17	16	15	0.8333333333333334
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	4067775	6418620	1411471	0.1555352970449119	796635	1025492	104670	0.06094475727776591
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	4067775	6418620	1411471	0.1555352970449119	17	16	15	0.8333333333333334
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	39088812	52679047	8907552	0.10750083269664931	3270951	4293110	676414	0.09820683318991232
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	39088812	52679047	8907552	0.10750083269664931	810	1047	147	0.08596491228070176
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	38276423	51324172	7647608	0.09331701357023144	3417355	4827152	747935	0.09977026833064499
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	38276423	51324172	7647608	0.09331701357023144	722	899	136	0.09158249158249158
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	4089744	9226050	1510368	0.12793845812933816	798367	1122513	110754	0.06118579590592036
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	4089744	9226050	1510368	0.12793845812933816	45	104	42	0.3925233644859813
GM_set1_bio4_tec1_4DNFIHW7O3BR_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	4089708	6463170	1412852	0.1545785537152739	798358	1030009	105454	0.06120680498667083
