file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.0	min	optimal	74110469	75867932	25424429	0.20412379141148546	3479765	3535580	618935	0.09676287167332925
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.0	min	0.05	74110469	75867932	25424429	0.20412379141148546	2026	2013	395	0.108397365532382
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.01	min	optimal	72773458	74398975	23561884	0.1906138609577731	3770847	3874062	691201	0.09940034870604288
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.01	min	0.05	72773458	74398975	23561884	0.1906138609577731	1747	1713	323	0.10296461587503984
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.05	min	optimal	67107583	68681818	19991699	0.1726433137680055	3746284	3710952	699437	0.10350071080835639
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.05	min	0.05	67107583	68681818	19991699	0.1726433137680055	1268	1239	259	0.1152135231316726
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.1	min	optimal	13838166	14156625	4572250	0.19520725782911427	1521559	1553060	202151	0.07037537058724413
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.1	min	0.05	13838166	14156625	4572250	0.19520725782911427	16	16	15	0.8823529411764706
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.25	min	optimal	13837838	14156278	4572172	0.1952089032404825	1521438	1552890	202105	0.07036535812156647
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	10000000	0.25	min	0.05	13837838	14156278	4572172	0.1952089032404825	15	15	14	0.875
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.0	min	optimal	108382320	111641875	25845839	0.13310360398766585	4313639	4117265	776950	0.10150962495985735
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.0	min	0.05	108382320	111641875	25845839	0.13310360398766585	4791	4948	950	0.10808965752645353
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.01	min	optimal	105068837	108010247	21748428	0.1136693327388163	5581989	6067727	1090799	0.10330595457848565
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.01	min	0.05	105068837	108010247	21748428	0.1136693327388163	3948	3944	783	0.11014207342804895
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.05	min	optimal	37463829	45118532	9131388	0.12431949676146564	2395152	2931636	410970	0.08360154912163144
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.05	min	0.05	37463829	45118532	9131388	0.12431949676146564	1284	1737	396	0.15085714285714286
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.1	min	optimal	14048265	14382039	4578696	0.19196592531623025	1531472	1563596	204672	0.07081105841552507
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.1	min	0.05	14048265	14382039	4578696	0.19196592531623025	51	54	50	0.9090909090909091
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.25	min	optimal	14047754	14381497	4578538	0.19196650431372847	1531336	1563366	204611	0.0707974247177684
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	100000000	0.25	min	0.05	14047754	14381497	4578538	0.19196650431372847	48	51	47	0.9038461538461539
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	25000000	0.0	min	optimal	88848719	91207860	25673461	0.16629707530586343	3680227	3708581	680313	0.10141067407816508
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	25000000	0.0	min	0.05	88848719	91207860	25673461	0.16629707530586343	3299	3339	743	0.12603901611535198
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	25000000	0.01	min	optimal	86168944	88578698	22476935	0.14761168082052709	4711849	4630102	858989	0.10126050311200262
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	tec	GM	5000	25000000	0.01	min	0.05	86168944	88578698	22476935	0.14761168082052709	2704	2756	617	0.1274003716704522
