file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	74110469	71010025	25117047	0.2093027127795754	3479765	3486076	619275	0.09757639012971739
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	74110469	71010025	25117047	0.2093027127795754	2026	3304	454	0.09310910582444627
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	72773458	70117455	23526088	0.19709397638709727	3770847	3682796	684674	0.10114893420253512
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	72773458	70117455	23526088	0.19709397638709727	1747	2967	391	0.09044644922507518
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	67107583	64017105	19595989	0.1757035559071661	3746284	3788442	726198	0.10666005926684886
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	67107583	64017105	19595989	0.1757035559071661	1268	2112	293	0.09491415613864594
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	13838166	16879198	4885412	0.18912283516166337	1521559	1745756	223894	0.0735665555307662
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	13838166	16879198	4885412	0.18912283516166337	16	154	14	0.08974358974358974
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	13837838	13840374	4651079	0.2019825481530853	1521438	1623952	214650	0.07324088796686161
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	13837838	13840374	4651079	0.2019825481530853	15	13	13	0.8666666666666667
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	108382320	100769427	25471955	0.13867587023399938	4313639	3833476	775069	0.10513621320322744
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	108382320	100769427	25471955	0.13867587023399938	4791	7217	1074	0.0982257179440278
