file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	74110469	38095619	16214798	0.16891947175623956	3479765	2825284	394467	0.06673911300105471
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	74110469	38095619	16214798	0.16891947175623956	2026	404	122	0.05285961871750433
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	72773458	36840335	14572552	0.15332872179141685	3770847	3991104	535912	0.07416400603428794
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	72773458	36840335	14572552	0.15332872179141685	1747	322	107	0.0545361875637105
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	67107583	14978008	6883844	0.09153835216088796	3746284	1727799	308680	0.05975913205610482
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	67107583	14978008	6883844	0.09153835216088796	1268	139	54	0.03991130820399113
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	13838166	6418885	2698922	0.1537135306387144	1521559	1025564	106922	0.043816882297810715
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	13838166	6418885	2698922	0.1537135306387144	16	16	15	0.8823529411764706
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	13837838	6418620	2698836	0.15371307116647118	1521438	1025492	106895	0.04380879782462137
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	13837838	6418620	2698836	0.15371307116647118	15	16	15	0.9375
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	108382320	52679047	16392698	0.11331201229203262	4313639	4293110	668737	0.0842448965811591
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	108382320	52679047	16392698	0.11331201229203262	4791	1047	259	0.04642409033877039
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	105068837	51324172	13812942	0.09687849284009664	5581989	4827152	828354	0.08645991190494058
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	105068837	51324172	13812942	0.09687849284009664	3948	899	226	0.04890716295174205
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	37463829	9226050	3871685	0.09042149232169858	2395152	1122513	165335	0.049319428576542285
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	37463829	9226050	3871685	0.09042149232169858	1284	104	59	0.04439428141459744
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	14048265	6463170	2702156	0.15172742254192323	1531472	1030009	108257	0.044128461159682116
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	14048265	6463170	2702156	0.15172742254192323	51	47	45	0.8490566037735849
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	14047754	6462797	2702022	0.151726288005034	1531336	1029902	108218	0.044116232236182336
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	100000000	0.25	min	0.05	14047754	6462797	2702022	0.151726288005034	48	47	45	0.9
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	25000000	0.0	min	optimal	88848719	44192831	16317431	0.13979485251030252	3680227	3672000	521370	0.07632570847259722
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	25000000	0.0	min	0.05	88848719	44192831	16317431	0.13979485251030252	3299	676	221	0.05887053809270112
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	25000000	0.01	min	optimal	86168944	42840101	14016670	0.12189216893728823	4711849	4474056	688598	0.08103720390471945
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	25000000	0.01	min	0.05	86168944	42840101	14016670	0.12189216893728823	2704	543	189	0.0618051013734467
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	25000000	0.05	min	optimal	60269135	9959889	4762126	0.07274097514136076	3333484	1238064	230992	0.053217145453255295
GM_set1_bio5_tec1_4DNFIROARX7U_5kb.cool	GM_set1_bio7_tec2_4DNFIXR9BRGT_5kb.cool	bio	GM	5000	25000000	0.05	min	0.05	60269135	9959889	4762126	0.07274097514136076	1698	167	101	0.0572562358276644
