file_a	file_b	rep_type	cell_type	resolution	dist_thr	perc_thr	alpha_mod	alpha_thr	size_a_filt	size_b_filt	size_overlap_filt	jacc_value_filt	size_a_spar	size_b_spar	size_overlap_spar	jacc_value_spar
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	optimal	75867932	71010025	25414932	0.20924007120685492	3535580	3486076	626959	0.09804358204931367
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.0	min	0.05	75867932	71010025	25414932	0.20924007120685492	2013	3304	439	0.08999589995899959
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	optimal	74398975	70117455	23733283	0.19649498783137354	3874062	3682796	695312	0.10133459718844703
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.01	min	0.05	74398975	70117455	23733283	0.19649498783137354	1713	2967	370	0.08584686774941995
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	optimal	68681818	64017105	19840937	0.17580445747100254	3710952	3788442	722849	0.10666925402251443
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.05	min	0.05	68681818	64017105	19840937	0.17580445747100254	1239	2112	275	0.08940182054616384
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	optimal	14156625	16879198	4941477	0.18936964352354338	1553060	1745756	227839	0.07419104734421651
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.1	min	0.05	14156625	16879198	4941477	0.18936964352354338	16	154	14	0.08974358974358974
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	optimal	14156278	13840374	4701316	0.20181361625348523	1552890	1623952	218491	0.07385567162246806
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	10000000	0.25	min	0.05	14156278	13840374	4701316	0.20181361625348523	15	13	13	0.8666666666666667
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.0	min	optimal	111641875	100769427	25783044	0.13815187622873273	4117265	3833476	765270	0.10650241299422125
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.0	min	0.05	111641875	100769427	25783044	0.13815187622873273	4948	7217	1052	0.09466390713578691
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.01	min	optimal	108010247	98140828	21868221	0.1186666069324062	6067727	4962557	1025098	0.10245666597302638
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.01	min	0.05	108010247	98140828	21868221	0.1186666069324062	3944	6251	886	0.09517671071006553
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.05	min	optimal	45118532	59892971	11189088	0.11925815382177063	2931636	3332740	528395	0.09211937766181583
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.05	min	0.05	45118532	59892971	11189088	0.11925815382177063	1737	3356	475	0.102858380251191
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.1	min	optimal	14382039	14002680	4706173	0.19875261766495292	1563596	1631171	220635	0.07418466967841374
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.1	min	0.05	14382039	14002680	4706173	0.19875261766495292	54	51	48	0.8421052631578947
GM_set1_bio5_tec2_4DNFI1CMC4NQ_5kb.cool	GM_set1_bio6_tec1_4DNFIFQL2K6N_5kb.cool	bio	GM	5000	100000000	0.25	min	optimal	14381497	14002195	4706023	0.1987536442037432	1563366	1631001	220569	0.07417080783563645
